icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
;heat_balance;heat_loss;district;summer;;;QVn_summer;3;Nachtlüftung gekühlt;kWh/m²NGFa;;"SUMMENPRODUKT(sim[is_cooling_period]; sim[Qv_nightvent]) * NFAfrac_u * -0,001"
;heat_balance;heat_gain;district;summer;;;QS_summer;3;Solare Gewinne;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QS_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QS_c]) * NFAfrac_c) * 0,001"
;heat_balance;heat_gain;district;summer;;;QI_summer;3;Innere Wärmen;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QI_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QI_c]) * NFAfrac_c) * 0,001"
;heat_balance;heating_demand;district;summer;;;QH_summer;3;Heizwärmebedarf;kWh/m²NGFa;;QH_min_summer + QH_flex_summer
;heat_balance;cooling_demand;district;summer;;;QC_summer;3;Kühlbedarf (KB);kWh/m²NGFa;;QC_min_summer + QC_flex_summer
☑;heat_balance;test;district;summer;;;test_heat_balance_summer;4;Wärmebilanz Kühlperiode;False;;(QT_summer+QV_summer+QVn_summer+QC_summer) - (QS_summer+QI_summer+QH_summer)
;heat_balance;heat_loss;district;summer;hull;wall;QT_wall_summer;3;Transmission AW;kWh/m²NGFa;;QT_summer * transmittance_walls_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;summer;hull;roof;QT_roof_summer;3;Transmission Dach;kWh/m²NGFa;;QT_summer * transmittance_roof_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;summer;hull;fundament;QT_ground_summer;3;Transmission KD/EFB;kWh/m²NGFa;;QT_summer * transmittance_fundament_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;summer;hull;windows;QT_window_summer;3;Transmission Fenster;kWh/m²NGFa;;QT_summer * transmittance_windows_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;summer;hull;;QT_psi_summer;3;Transmission Wärmebrücken;kWh/m²NGFa;;QT_summer * transmittance_heatbridge_Wm2NFA / transmittance_Wm2
;heat_balance;heat_loss;district;summer;;;QV_inf_summer;3;Infiltration;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvinf_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvinf_c]) * NFAfrac_c ) * -0,001"
;heat_balance;heat_loss;district;summer;;;QV_window_summer;3;Lüftung Fenster;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvwindow_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvwindow_c]) * NFAfrac_c ) * -0,001"
;heat_balance;heat_loss;district;summer;;;QV_mechvent_summer;3;Mechanische Lüftung;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvmechvent_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qvmechvent_c]) * NFAfrac_c) * -0,001"
;heat_balance;heat_recovery;district;summer;;;QV_heatrecovery_summer;3;ML Wärmerückgewinnung 2;kWh/m²NGFa;;"SUMMENPRODUKT(sim[is_cooling_period]; sim[dT_uncooled]; sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001 * NFAfrac_u +
 SUMMENPRODUKT(sim[is_cooling_period]; sim[dT_cooled];   sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled   * -0,001 * NFAfrac_c"
;heat_balance;heating_demand;district;summer;;;QH_min_summer;3;Heizwärmebedarf Statisch;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_to_room_uncooled_min]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_to_room_cooled_min]) * NFAfrac_c) * 0,001"
;heat_balance;heating_demand;district;summer;;;QH_flex_summer;3;Heizwärmebedarf Flexibel;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[Qh_c]) * NFAfrac_c) * 0,001 - QH_min_summer"
;heat_balance;cooling_demand;district;summer;;;QC_min_summer;3;Kühlbedarf Statisch;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qc_min_excl_losses]) * NFAfrac_c) * -0,001"
;heat_balance;cooling_demand;district;summer;;;QC_flex_summer;3;Kühlbedarf Flexibel;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[Qc_flex_excl_losses]) * NFAfrac_c) * -0,001"
;heat_balance;;district;summer;;;QH_flexshare_summer;3;Anteil Flexibler Heizung an Gesamtheizung;ratio;;"WENNFEHLER(QH_flex_summer/QH_summer;0)"
;heat_balance;;district;summer;;;QC_flexshare_summer;3;Anteil Flexibler Kühlung an Gesamtkühlung;ratio;;"WENNFEHLER(QC_flex_summer/QC_summer;0)"
☑;heat_balance;test;district;annual;;;test_heat_balance;3;Wärmebilanz;True;;(QT+QV+QVn+QC)-(QS+QI+QH)
🧱;heat_balance;heat_loss;uncooled;annual;;;QT_u;3;Transmissionswärmeverl.;kWh/m²NGFungekühlta;;-0,001*SUMME(sim[QT_u])
💨;heat_balance;heat_loss;uncooled;annual;;;QV_u;3;Lüftungswärmeverluste;kWh/m²NGFungekühlta;;QV_inf_u+QV_window_u+QV_mechvent_u
🌒;heat_balance;heat_loss;uncooled;annual;;;QVn_u;3;Nachtlüftung;kWh/m²NGFungekühlta;;-0,001*SUMME(sim[Qv_nightvent])
🌞;heat_balance;heat_gain;uncooled;annual;;;QS_u;3;Solare Gewinne;kWh/m²NGFungekühlta;;0,001*SUMME(sim[QS_u])
👤;heat_balance;heat_gain;uncooled;annual;;;QI_u;3;Innere Wärmen;kWh/m²NGFungekühlta;;0,001*SUMME(sim[QI_u])
♨;heat_balance;heating_demand;uncooled;annual;;;QH_u;3;Heizwärmebedarf;kWh/m²NGFungekühlta;;QH_min_u+QH_flex_u
🧱;heat_balance;heat_loss;uncooled;annual;hull;wall;QT_wall_u;3;Transmission AW;kWh/m²NGFungekühlta;;QT_u*IN!N110/transmittance_Wm2
🧱;heat_balance;heat_loss;uncooled;annual;hull;roof;QT_roof_u;3;Transmission Dach;kWh/m²NGFungekühlta;;QT_u*IN!N111/transmittance_Wm2
