ID;Kategorie;Name;Bereich;var_name;Einheit;Label;Kommentar;Default;Gründerzeit | Ausgangslage Gas;Gründerzeit | thermisch Saniert + Fernwärme;Gründerzeit | thermisch Saniert mit flexibler Wärmepumpe;Volksschule Neubau | Ökologisch;Wohnen Neubau 2.5 Geschosse | PEQ Deklaration;mg. Wohnbau 90er Sanierung | klimaneutrales PEQ Deklaration FW;Mischnutzung Neubau 7-stöckig | PEQ+M Deklaration;Südtiroler Quartier | Planung;Südtiroler Quartier | Ohne Tiefgarage;Südtiroler Quartier | PH;Südtiroler Quartier | PV x2;Südtiroler Quartier | Flexible HKLS mit WP;Südtiroler Quartier | Mob. Opt.;Südtiroler Quartier | Alle Maßnahmen;Südtiroler Quartier | Alle 150%PV;Südtiroler Quartier | Planung v2;Südtiroler Quartier | STB Zwischendecken;Südtiroler Quartier | test
;PE-Netzäquivalenz-Bilanz;Mobilität (MIV);;PEI_mob_total;kWhPEges./m²NGFa;;;27.02064638262062;44.62223705484397;44.62223705484397;29.964538016713707;19.446744235200207;0;25.908265701039447;38.295654265582044;30.374498466133176;30.374498466133176;30.374498466133176;55.277684329605435;30.374498466133176;25.09300008408455;25.09300008408455;25.09300008408455;25.08218038708735;30.374498466133176;25.08218038708735
;PE-Netzäquivalenz-Bilanz;MIV Fossil;;PEI_mob_fossile;kWhPEges./m²NGFa;;;14.817841726618706;43.80846576260387;43.80846576260387;17.137765486367506;11.122272;0;14.817841726618704;21.90262174522699;16.657059362061503;16.657059362061503;16.657059362061503;54.26959070683042;16.657059362061503;12.18809221614256;12.18809221614256;12.18809221614256;13.754807115695437;16.657059362061503;13.754807115695437
;PE-Netzäquivalenz-Bilanz;MIV Elektrisch;;PEI_mob_el;kWhPEges./m²NGFa;;;12.202804656001913;0.8137712922400994;0.8137712922400994;12.8267725303462;8.324472235200208;0;11.090423974420744;16.393032520355053;13.717439104071675;13.717439104071675;13.717439104071675;1.008093622775018;13.717439104071675;12.904907867941992;12.904907867941992;12.904907867941992;11.327373271391915;13.717439104071675;11.327373271391915
;PE-Netzäquivalenz-Bilanz;Speicher-Verluste;;PEI_storage_losses;kWhPEges./m²NGFa;;;0;0;0;0;0;0;0;0.2253620349480075;0;0;0;0;0;0;0;0.8262100967897923;0.4483565230779732;0;0.4483565230779732
;PE-Netzäquivalenz-Bilanz;Kontext bauliche Dichte;;PEI_cf_density;kWhPEges./m²NGFa;;;-88.36737704918032;37.90794871794871;37.90794871794871;37.90794871794871;-3.709611165950558;-11.286825315042625;26.184264026844353;40.68155269067529;5.613320321918615;5.613320321918615;5.613320321918615;37.90794871794871;5.613320321918615;5.613320321918615;5.613320321918615;5.613320321918615;5.613320321918615;5.613320321918615;5.613320321918615
;PE-Netzäquivalenz-Bilanz;Kontext Mobilität;;PEI_cf_mobility;kWhPEges./m²NGFa;;;14.107740396658578;16.686366481535043;16.686366481535043;16.686366481535043;12.934787305836238;0;14.107740396658576;25.599270454823273;14.883356663314945;14.883356663314945;14.883356663314945;16.686366481535043;14.883356663314945;14.883356663314945;14.883356663314945;14.883356663314945;14.883356663314945;14.883356663314945;14.883356663314945
;PE-Netzäquivalenz-Bilanz;Kontext Sanierung;;PEI_cf_renovation;kWhPEges./m²NGFa;;;0;15;15;15;2.7259162904583367;0;15;0;0;0;0;15;0;0;0;0;0;0;0
;PE-Netzäquivalenz-Bilanz;Lokale Erneuerbare (Netzstrom Substitutionsäquivalent);;PEI_sub_PV;kWhPEges./m²NGFa;;;96.03283718249975;0.0055421527162175495;0.0055421527162175495;14.24902275618801;50.64210887182195;62.6918576337117;16.736306801195187;31.39622990086102;33.93170267202134;33.93170267202134;33.93170267202134;0.005330411022372234;33.93170267202134;33.93170267202134;69.47624678732043;52.107185090490034;33.93170267202134;33.93170267202134;33.93170267202134
;PE-Netzäquivalenz-Bilanz;Energieflexibilität (Netzstrom Substitutionsäquivalent);;PEI_sub_flex;kWhPEges./m²NGFa;;;0;0;0;0;0;5.045757570842853;27.986541143198473;36.615875974091594;0;0;0;0;25.311164048798712;0;20.34978207622154;26.44464378965999;14.271011945270129;0;14.271011945270129
;PE-Netzäquivalenz-Bilanz;PE-Bilanz Netzäquivalent;;PEI_balance;kWhPEges./m²NGFa;;;-100.06322964451235;-80.08180553866173;-80.08180553866173;-24.799828460083138;-4.144320310300117;-10.233143530171873;11.606998616572291;16.441889646479993;-51.62016023170902;-51.62016023170902;-45.53537775623221;-209.86713782488403;-21.628595487614135;-46.3386618496604;20.664373757166302;10.36699445004807;-30.36282784295716;-51.62016023170902;-30.36282784295716
;PE-ImportExport Bilanz;Netzbezug;;PEI_grid_import;kWhPEges./m²NGFa;;;55.86545151627007;47.62057442778682;47.62057442778682;78.05252318849843;32.06640680532657;30.58019544409718;30.175207785048737;49.30997051338036;39.48135474032623;39.48135474032623;38.670144930149746;70.09703131253967;36.05069951535292;39.82682163838449;26.55778275047429;17.423434717860474;21.28451968876141;39.48135474032623;21.28451968876141
;;Flexibler Bezug;;PEI_flex_import;kWhPEges./m²NGFa;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;PE-ImportExport Bilanz;EV Externe Beladung;;PEI_evExtCharge_import;kWhPEges./m²NGFa;;;24.313436602475765;20.88049547866541;20.88049547866541;19.35232423245578;31.938374066516776;0;4.426488170297239;34.41930051968691;16.82476009742664;16.82476009742664;14.93263541267687;0.3772213647290242;11.250552179042572;14.573405833245676;3.987625441150625;6.552599402699903;6.308679466144029;16.82476009742664;6.308679466144029
;PE-ImportExport Bilanz;Primärenergie-Import;;PEI_import;kWhPEges./m²NGFa;;;94.99672984536454;81.20553033810691;81.20553033810691;114.54261290732171;75.12705287184335;30.58019544409718;54.980093855762114;105.92641295417368;100.93999951012822;100.93999951012822;89.25512259252967;280.27704591804707;63.95831105645699;94.56514499808657;42.73350040776748;36.164126336702935;67.32490935706518;100.93999951012822;67.32490935706518
;PE-ImportExport Bilanz;PV Netzeinspeisung PE;;PEI_pv_export;kWhPEges./m²NGFa;;;57.082504906902635;64.96525663501913;64.96525663501913;0;28.549253191005707;31.63387722896763;0.16058490683169424;0.3231999424286199;11.872805251071027;11.872805251071027;6.272706878462592;0;4.871193999188375;11.785206467538483;26.94920668060186;9.087618988495812;2.4572531632816297;11.872805251071027;2.4572531632816297
;PE-ImportExport Bilanz;EV Other Travels;;PEI_evOtherTravel_export;;;;12.20428699390146;1.2802085281414557;1.2802085281414557;20.178818604658247;30.523085479299635;0;11.090451578380488;48.878958965818995;16.603832664991103;16.603832664991103;16.603832664991103;0.8163878297816791;16.603832664991103;15.620331599877456;15.620331599877456;15.620331599877456;13.710856026992914;16.603832664991103;13.710856026992914
;PE-ImportExport Bilanz;Primärenergie-Export;;PEI_export;kWhPEges./m²NGFa;;;69.28679190080409;75.42912963463647;75.42912963463647;20.178818604658247;59.07233867030534;31.63387722896763;11.251036485212182;49.20215890824762;28.47663791606213;28.47663791606213;22.876539543453696;0.8163878297816791;21.475026664179477;27.40553806741594;42.56953828047932;24.70795058837327;16.168109190274542;28.47663791606213;16.168109190274542
;PE-ImportExport Bilanz;PE-IE-Bilanz Projektwert;;PEI_saldo_project;kWhPEges./m²NGFa;;;-25.70993794456045;-5.776400703470443;-5.776400703470443;-94.36379430266346;-16.054714201538005;1.0536817848704523;-43.72905737054993;-56.72425404592607;-72.46336159406609;-72.46336159406609;-66.37858304907598;-279.4606580882654;-42.48328439227751;-67.15960693067063;-0.1639621272881584;-11.456175748329667;-51.15680016679064;-72.46336159406609;-51.15680016679064
;PE-ImportExport Bilanz;PE-IE-Bilanz Zielwert;;PEI_saldo_target;kWhPEges./m²NGFa;;;74.25963665252175;-69.59431519948376;-69.59431519948376;-69.59431519948376;-11.951092430344016;11.286825315042625;-55.29200442350293;-66.28082314549856;-20.49667698523356;-20.49667698523356;-20.49667698523356;-69.59431519948376;-20.49667698523356;-20.49667698523356;-20.49667698523356;-20.49667698523356;-20.49667698523356;-20.49667698523356;-20.49667698523356
;PE-ImportExport Bilanz;importExport Saldo Projektwert - Zielwert;;PEI_importExport_balance;kWhPEges./m²NGFa;;;-99.9695745970822;-80.03603735599219;-80.03603735599219;-24.769479103179705;-4.103621771193989;-10.233143530172173;11.562947052953;9.556569099572492;-51.96668460883252;-51.96668460883252;-45.88190606384242;-209.86634288878165;-21.98660740704395;-46.66292994543707;20.3327148579454;9.040501236903893;-30.66012318155708;-51.96668460883252;-30.66012318155708
;;PE Faktor Netzstrom Statistisch;;fPE_grid;;;;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.6302388299920707;1.6302388299920707;1.6302388299920707;1.6302388299920707;1.6302388299920707;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354;1.7937534246576354
;;PE Faktor Netzstrom Effektiv;;fPE_eff;;;;1.8884628069595941;1.8939929512460996;1.8939929512460996;1.6601406682623416;1.6682014263109206;1.4307213726258585;0.9206529793232983;1.1550609450375702;1.837447716891131;1.837447716891131;1.861299492179444;1.8075157343121622;1.2381197918650841;1.8393077279287178;1.149982212805871;0.9244282521274332;1.2570065370798533;1.837447716891131;1.2570065370798533
;THG-Bilanz;Bauteil Außenwand fossil;;GWP_ee_walls_fossile;GWP 100A (kgCO2equiv/m²BGF);;;0;0;0;0;28.22653062973449;49.210819232076126;27.995910255096813;10.57987900674506;28;28;28;0;28;28;28;28;28;28;28
;THG-Bilanz;Bauteil Außenwand biogen;;GWP_ee_walls_biogenic;GWP 100A (kgCO2equiv/m²BGF);;;0;0;0;0;-7.53066841227332;0;-19.46104594816105;0;-29.3;-29.3;-29.3;0;-29.3;-29.3;-29.3;-29.3;-29.3;-29.3;-29.3
;THG-Bilanz;Bauteil Außenwand Lebensdauer;;GWP_life_walls;Jahre;;;27;100;100;27;50;50;50;50;50;50;50;100;50;50;50;50;50;50;50
;;;;GWP_ee_lc_walls_fossil;;;;0;0;0;0;28.22653062973449;49.210819232076126;27.995910255096813;10.57987900674506;28;28;28;0;28;28;28;28;28;28;28
;;;;GWP_ee_lc_walls_biogenic;;;;0;0;0;0;-7.53066841227332;0;-19.46104594816105;0;-29.3;-29.3;-29.3;0;-29.3;-29.3;-29.3;-29.3;-29.3;-29.3;-29.3
;THG-Bilanz;Bauteil Außenwand;;GWP_ee_lc_walls;GWP 100A (kgCO2equiv/m²BGF);;;0;0;0;0;20.69586221746117;49.210819232076126;8.534864306935763;10.57987900674506;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007;0;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007;-1.3000000000000007
