icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
🧱;heat_balance;Wärmebilanz;Verluste;Ungekühlt;QT_u;;Transmissionswärmeverl.;kWh/m²NGFungekühlta
💨;heat_balance;Wärmebilanz;Verluste;Ungekühlt;QV_u;;Lüftungswärmeverluste;kWh/m²NGFungekühlta
🌒;heat_balance;Wärmebilanz;Verluste;Ungekühlt;QVn_u;;Nachtlüftung;kWh/m²NGFungekühlta
🌞;heat_balance;Wärmebilanz;Gewinne;Ungekühlt;QS_u;;Solare Gewinne;kWh/m²NGFungekühlta
👤;heat_balance;Wärmebilanz;Gewinne;Ungekühlt;QI_u;;Innere Wärmen;kWh/m²NGFungekühlta
♨;heat_balance;Wärmebilanz;Gewinne;Ungekühlt;QH_u;;Heizwärmebedarf;kWh/m²NGFungekühlta
🧱;heat_balance;Wärmebilanz;;Ungekühlt;QT_wall_u;;Transmission AW;kWh/m²NGFungekühlta
🧱;heat_balance;Wärmebilanz;;Ungekühlt;QT_roof_u;;Transmission Dach;kWh/m²NGFungekühlta
🧱;heat_balance;Wärmebilanz;;Ungekühlt;QT_ground_u;;Transmission KD/EFB;kWh/m²NGFungekühlta
🧱;heat_balance;Wärmebilanz;;Ungekühlt;QT_window_u;;Transmission Fenster;kWh/m²NGFungekühlta
🧱;heat_balance;Wärmebilanz;;Ungekühlt;QT_psi_u;;Transmission Wärmebrücken;kWh/m²NGFungekühlta
💨;heat_balance;Wärmebilanz;;Ungekühlt;QV_inf_u;;Infiltration;kWh/m²NGFungekühlta
💨;heat_balance;Wärmebilanz;;Ungekühlt;QV_window_u;;Lüftung Fenster;kWh/m²NGFungekühlta
💨;heat_balance;Wärmebilanz;;Ungekühlt;QV_mechvent_u;;Mechanische Lüftung;kWh/m²NGFungekühlta
🔀;heat_balance;Wärmebilanz;;Ungekühlt;QV_heatrecovery_u;;ML Wärmerückgewinnung;kWh/m²NGFungekühlta
♨;heat_balance;Wärmebilanz;;Ungekühlt;QH_min_u;;Heizwärmebedarf Statisch;kWh/m²NGFungekühlta
♨;heat_balance;Wärmebilanz;;Ungekühlt;QH_flex_u;;Heizwärmebedarf Flexibel;kWh/m²NGFungekühlta
F;heat_balance;Wärmebilanz;;Ungekühlt;QH_flexanteil_u;;Flexibilitätsanteil;%
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_c;;Transmissionswärmeverl.;kWh/m²NGFgekühlta
💨;heat_balance;Wärmebilanz;;Gekühlt;QV_c;;Lüftungswärmeverluste;kWh/m²NGFgekühlta
🌒;heat_balance;Wärmebilanz;;Gekühlt;QVn_c;;Nachtlüftung gekühlt;kWh/m²NGFgekühlta
🌞;heat_balance;Wärmebilanz;;Gekühlt;QS_c;;Solare Gewinne;kWh/m²NGFgekühlta
👤;heat_balance;Wärmebilanz;;Gekühlt;QI_c;;Innere Wärmen;kWh/m²NGFgekühlta
♨;heat_balance;Wärmebilanz;;Gekühlt;QH_c;;Heizwärmebedarf;kWh/m²NGFgekühlta
❄;heat_balance;Wärmebilanz;;Gekühlt;QC_c;;Kühlbedarf (KB);kWh/m²NGFgekühlta
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_wall_c;;Transmission AW;kWh/m²NGFgekühlta
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_roof_c;;Transmission Dach;kWh/m²NGFgekühlta
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_ground_c;;Transmission KD/EFB;kWh/m²NGFgekühlta
🧱;heat_balance;Wärmebilanz;;Gekühlt;QT_window_c;;Transmission Fenster;kWh/m²NGFgekühlta
