value;name;formula;sheet;address;refers_to_range;refers_to
#REF;sim_rh;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$AG$6;True
#REF;sim_stellplaetze;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$AL$6;True
#REF;Userinput_Bezugsgroessen_Gebaeude_Grundstuecksgroesse_m2;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!$D$40;True
#REF;Userinput_Bezugsgroessen_Gebaeude_VerhaeltnisNGFBGF_;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]Input'!$P$32;True
#REF;Userinput_CO2PE__Monatsprofile_;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]CO2&PE'!$J$38:$Y$52;True
#REF;Userinput_PV__Jahresprofile_C212;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]PV&Netzdienlichkeit'!$C$212;True
testinput;Userinput_test1;testinput;Tabelle1;$A$1;;('',);False
testinput;Userinput_test2;=A1;Tabelle1;$A$2;;('',);False
#Range;Varianten____;#Range;Varianten;$A$10:$OK$24;;('',);False
2021-10-15 10:33:32;varianten_datetime;44484.4399537037;Varianten;$E$3;;('',);False
10.0;varianten_einzelzeile;10;Varianten;$D$6;;('',);False
1.0;varianten_first;1;Varianten;$A$10;;('',);False
#Range;varianten_in;#Range;Varianten;$A$3:$GT$3;;('',);False
exchange_variables;varianten_save_range;exchange_variables;Varianten;$C$8;;('',);False
False;varianten_save_ranges;FALSE;Varianten;$A$8;;('',);False
#Range;varianten_sim_out;#Range;Varianten;$GW$3:$OK$3;;('',);False
Doppelsimulation;varianten_simulation;Doppelsimulation;Varianten;$D$3;;('',);False
10.0;varianten_zeile_start;10;Varianten;$A$6;;('',);False
21.0;varianten_zeile_stop;21;Varianten;$A$7;;('',);False
#REF;waste_heat?;;;;;='C:\Users\Simon Schneider\PycharmProjects\peexcel\peexcel\[PlusenergieExcel_Performance.xlsb]SIM'!$EH$6;True
#Range;Wetter___;#Range;Tabelle1;$D$1:$E$13;;('',);False
