icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
❄;heat_balance;cooling_demand;district;annual;;;QC;3;Kühlbedarf (KB);kWh/m²NGFa
;heat_balance;heat_recovery;district;annual;;;QV_heatrecovery;3;ML Wärmerückgewinnung;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QT_winter;3;Transmissionswärmeverl.;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QV_winter;3;Lüftungswärmeverluste;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QVn_winter;3;Nachtlüftung;kWh/m²NGFa
;heat_balance;heat_gain;district;winter;;;QS_winter;3;Solare Gewinne;kWh/m²NGFa
;heat_balance;heat_gain;district;winter;;;QI_winter;3;Innere Wärmen;kWh/m²NGFa
;heat_balance;heating_demand;district;winter;;;QH_winter;3;Heizwärmebedarf;kWh/m²NGFa
;heat_balance;cooling_demand;district;winter;;;QC_winter;3;Kühlbedarf (KB);kWh/m²NGFa
☑;heat_balance;test;;;;;test_heat_balance_winter;4;Wärmebilanz Heizperiode;False
;heat_balance;heat_loss;district;winter;hull;wall;QT_wall_winter;3;Transmission AW;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;hull;roof;QT_roof_winter;3;Transmission Dach;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;hull;fundament;QT_ground_winter;3;Transmission KD/EFB;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;hull;windows;QT_window_winter;3;Transmission Fenster;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;hull;;QT_psi_winter;3;Transmission Wärmebrücken;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QV_inf_winter;3;Infiltration;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QV_window_winter;3;Lüftung Fenster;kWh/m²NGFa
;heat_balance;heat_loss;district;winter;;;QV_mechvent_winter;3;Mechanische Lüftung;kWh/m²NGFa
;heat_balance;heat_recovery;district;winter;;;QV_heatrecovery_winter;3;ML Wärmerückgewinnung;kWh/m²NGFa
;heat_balance;heating_demand;district;winter;;;QH_min_winter;3;Heizwärmebedarf Statisch;kWh/m²NGFa
;heat_balance;heating_demand;district;winter;;;QH_flex_winter;3;Heizwärmebedarf Flexibel;kWh/m²NGFa
;heat_balance;cooling_demand;district;winter;;;QC_min_winter;3;Kühlbedarf Statisch;kWh/m²NGFa
;heat_balance;cooling_demand;district;winter;;;QC_flex_winter;3;Kühlbedarf Flexibel;kWh/m²NGFa
;heat_balance;;district;winter;;;QH_flexshare_winter;3;Anteil Flexibler Heizung an Gesamtheizung;ratio
F;heat_balance;;district;winter;;;QC_flexshare_winter;3;Anteil Flexibler Kühlung an Gesamtkühlung;ratio
;heat_balance;heat_loss;district;summer;;;QT_summer;3;Transmissionswärmeverl.;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;;;QV_summer;3;Lüftungswärmeverluste;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;;;QVn_summer;3;Nachtlüftung gekühlt;kWh/m²NGFa
;heat_balance;heat_gain;district;summer;;;QS_summer;3;Solare Gewinne;kWh/m²NGFa
;heat_balance;heat_gain;district;summer;;;QI_summer;3;Innere Wärmen;kWh/m²NGFa
;heat_balance;heating_demand;district;summer;;;QH_summer;3;Heizwärmebedarf;kWh/m²NGFa
;heat_balance;cooling_demand;district;summer;;;QC_summer;3;Kühlbedarf (KB);kWh/m²NGFa
☑;heat_balance;;Test;summer;;;test_heat_balance_summer;4;Wärmebilanz Kühlperiode;False
;heat_balance;heat_loss;district;summer;hull;wall;QT_wall_summer;3;Transmission AW;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;hull;roof;QT_roof_summer;3;Transmission Dach;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;hull;fundament;QT_ground_summer;3;Transmission KD/EFB;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;hull;windows;QT_window_summer;3;Transmission Fenster;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;hull;;QT_psi_summer;3;Transmission Wärmebrücken;kWh/m²NGFa
;heat_balance;heat_loss;district;summer;;;QV_inf_summer;3;Infiltration;kWh/m²NGFa
