var_name;Domain;Measure;Unit;Formula
Qh_to_room_min;Heizwärmebedarf;HWB;Wh/m²NFA;=SUMPRODUCT(sim[@[Qh_to_room_uncooled_min]:[Qh_to_room_cooled_min]],$H$4:$I$4)
Qh_to_room_flex_u;Heizwärmebedarf;HWB;Wh/m²uncooled;=[@[Qh_to_room_uncooled_max]]-[@[Qh_to_room_uncooled_min]]
Qh_to_room_flex_c;Heizwärmebedarf;HWB;Wh/m²cooled;=[@[Qh_to_room_cooled_max]]-[@[Qh_to_room_cooled_min]]
Qh_to_room_flex_val;Heizwärmebedarf;HWB;;=[@[Qh_to_room_flex_u]]*NFAfrac_u+[@[Qh_to_room_flex_c]]*+NFAfrac_c
Qh_to_room_flex;Heizwärmebedarf;HWB;Wh/m²NFA;=SUMPRODUCT(sim[@[Qh_to_room_uncooled_max]:[Qh_to_room_cooled_max]],$H$4:$I$4)-[@[Qh_to_room_min]]
waste_heat_potential;Heizwärmebedarf;;Wh/m²NFA;0
Qh_min_wasteheat;Heizwärmebedarf;;Wh/m²;=MAX(0,MIN([@[waste_heat_potential]],[@[Qh_to_room_min]]))
Qh_min_1el;Heizwärmebedarf;Minimale Deckung raumseitig;Wh/m²NFA;=MIN([@[Qh_to_room_min]]-[@[Qh_min_wasteheat]],QHmax_1el_m2)
Qh_min_2th;Heizwärmebedarf;Minimale Deckung raumseitig;Wh/m²NFA;=MIN([@[Qh_to_room_min]]-SUM(sim[@[Qh_min_wasteheat]:[Qh_min_1el]]),QHmax_2th_m2)
Qh_min_3el;Heizwärmebedarf;Minimale Deckung raumseitig;Wh/m²NFA;=MIN([@[Qh_to_room_min]]-SUM(sim[@[Qh_min_wasteheat]:[Qh_min_2th]]),QHmax_3el_m2)
Qh_min_4th;Heizwärmebedarf;Minimale Deckung raumseitig;Wh/m²NFA;=MIN([@[Qh_to_room_min]]-SUM(sim[@[Qh_min_wasteheat]:[Qh_min_3el]]),QHmax_4th_m2)
Qh_wasteheat_flex;Heizwärmebedarf;🔥+ Flexibles Potential;Wh/m²NFA;=MIN([@[Qh_to_room_flex]],[@[waste_heat_potential]]-[@[Qh_min_wasteheat]])
Qh_flex_1el_potential;Heizwärmebedarf;🔥+ Flexibles Potential;Wh/m²NFA;=FLEX_heat1_use*MIN(QHmax_1el_m2-[@[Qh_min_1el]],MAX([@[Qh_to_room_flex]]-[@[Qh_wasteheat_flex]],0))
Qh_flex_3el_potential;Heizwärmebedarf;🔥+ Flexibles Potential;Wh/m²NFA;=FLEX_heat3_use*MIN(QHmax_3el_m2-[@[Qh_min_3el]],[@[Qh_to_room_flex]]-[@[Qh_wasteheat_flex]])
Qc_from_room_min;Kühlbedarf;Kühbedarf raumseitig;Wh/m²cooled;=MIN(QCmax_room_m2,[@[is_cooling_period]]*MAX(IFNA([@[Ti_passive_cooled]]-Tsetcool_max,0),0)*heat_cap_eff_cooled_m2)
