var_name;Kategorie;Name;Bereich;Einheit;Label;Kommentar;Formel
QV_winter;Wärmebilanz;Lüftungswärmeverluste;Heizperiode;kWh/m²NGFa;;;QV_inf_winter + QV_window_winter + QV_mechvent_winter
QVn_winter;Wärmebilanz;Nachtlüftung;Heizperiode;kWh/m²NGFa;;;"SUMMENPRODUKT(sim[is_heating_period]; sim[Qv_nightvent]) * NFAfrac_u * -0,001"
QS_winter;Wärmebilanz;Solare Gewinne;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QS_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QS_c]) * NFAfrac_c) * 0,001"
QI_winter;Wärmebilanz;Innere Wärmen;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[QI_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[QI_c]) * NFAfrac_c) * 0,001"
QH_winter;Wärmebilanz;Heizwärmebedarf;Heizperiode;kWh/m²NGFa;;;QH_min_winter + QH_flex_winter
QC_winter;Wärmebilanz;Kühlbedarf (KB);Heizperiode;kWh/m²NGFa;;;QC_min_winter + QC_flex_winter
QT_wall_winter;Wärmebilanz;Transmission AW;Heizperiode;kWh/m²NGFa;;;QT_winter * transmittance_walls_Wm2NFA / transmittance_Wm²
QT_roof_winter;Wärmebilanz;Transmission Dach;Heizperiode;kWh/m²NGFa;;;QT_winter * transmittance_roof_Wm2NFA / transmittance_Wm²
QT_ground_winter;Wärmebilanz;Transmission KD/EFB;Heizperiode;kWh/m²NGFa;;;QT_winter * transmittance_fundament_Wm2NFA / transmittance_Wm²
QT_window_winter;Wärmebilanz;Transmission Fenster;Heizperiode;kWh/m²NGFa;;;QT_winter * transmittance_windows_Wm2NFA / transmittance_Wm²
QT_psi_winter;Wärmebilanz;Transmission Wärmebrücken;Heizperiode;kWh/m²NGFa;;;QT_winter * transmittance_heatbridge_Wm2NFA / transmittance_Wm²
QV_inf_winter;Wärmebilanz;Infiltration;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qvinf_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qvinf_c]) * NFAfrac_c ) * -0,001"
QV_window_winter;Wärmebilanz;Lüftung Fenster;Heizperiode;kWh/m²NGFa;;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qvwindow_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qvwindow_c]) * NFAfrac_c ) * -0,001"
