var_name;ka;Type;Name;Einheit;Kommentar;Icon;Formel
mobility_region;0;calculation;Mobilitätsregion;str;;🚗;"WENNFEHLER(SVERWEIS(K206;gemeinden;3;FALSCH)&WENN(mobility_mode=""Vereinfacht"";"" optimiert"";""""); ""Keine Region ausgewählt."")"
mobshare_residential;0;calculation;Zielverkehrsanteil Wohnen;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 2;FALSCH)"
mobshare_office;0;calculation;Zielverkehrsanteil Büro;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 3;FALSCH)"
mobshare_school;0;calculation;Zielverkehrsanteil Ausbildung;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 4;FALSCH)"
mobshare_retail;0;calculation;Zielverkehrsanteil Handel;%;;🚗;"SVERWEIS(mobility_region; Regionstypen; 5;FALSCH)"
pkm_pedestrian;0;calculation;Pkm Zu Fuß;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 6;FALSCH)"
pkm_bike;0;calculation;Pkm Fahrrad;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 7;FALSCH)"
pkm_mofa;0;calculation;Pkm Moped;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 8;FALSCH)"
pkm_car_driver;0;calculation;Pkm PKW-LenkerIn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 9;FALSCH)"
pkm_car_passenger;0;calculation;Pkm PKW-MitfahrerIn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 10;FALSCH)"
pkm_bus;0;calculation;Pkm Stadt/ Regionalbus;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 11;FALSCH)"
pkm_tram_metro;0;calculation;Pkm Straßenbahn/U-Bahn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 12;FALSCH)"
pkm_train;0;calculation;Pkm Eisenbahn;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 13;FALSCH)"
pkm_distancebus;0;calculation;Pkm Reisebus;Pkm;;🚗;"SVERWEIS(mobility_region; Regionstypen; 14;FALSCH)"
parking_spots_in_district;2;userinput;Stellplätze;Anzahl;;🚗;🚗!D81
mobility_vehicle_count;2;userinput;Fahrzeuge;Anzahl;;🚗;🚗!D77
EV_share;2;userinput;Anteil Ecars;%;Am Mobilitätsbedarf;🚗;🚗!D38
EV_demand_kWhpkm;2;userinput;Ecar Energieverbrauch;kWh/km;;🚗;🚗!D59
EV_battsize_kWh;2;userinput;Ecar Speicher pro Fahrzeug;kWh/EV;;🚗;🚗!D55
EV_storage_total_kWh;0;calculation;Ecar Speicher im Quartier;kWh;;🚗;K770*K767
EV_self_discharge_per_week;2;userinput;Ecar Selbstentladung wöchentlich;%/Woche;;🚗;🚗!D56
EV_selfdischarge_per_h;0;calculation;Ecar Selbstentladung stündlich;%/h;;🚗;K772/24/7
EV_soc_minimum;1;value;Ecar Mindest-Speicherstand;%;;🚗;
EV_charging_efficiency;2;userinput;Ecar Batterie-Effizienz Beladung;%;;🚗;🚗!D57
EV_charging_losses_surcharge_factor;0;calculation;Ecar Batterie-Effizienz Beladung Kehrwert;;;🚗;"WENNFEHLER(1/K775;0)"
EV_max_charging_power_ratio;1;value;Ecar Batterie Maximale Beladungsleistung;%;;🚗;
EV_soc_min_work;1;value;Ecar Mindestspeicherstand Arbeit;;;🚗;
EV_soc_min_retail;1;value;Ecar Mindestspeicherstand Handel;;;🚗;
moped_factor;1;value;Moped im Verhältnis zu Auto;;;🚗;
EV_share_constant_charging;1;value;Anteil Ecars, die konstant vor Ort laden;%;Rest konstantes Laden;🚗;
mob_pkm_factor;2;userinput;Reduktionsfaktor JPkm MIV;Anteil;;🚗;🚗!D29
EV_experimental_calculation;1;value;New Calculation Method;;;🚗;
