,Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020,REF,REG,uba30,uba50,veigl30,veigl50
2021-12-12 09:00:00,0.0005299116777360059,0.3951635431281179,0.39711654685630987,0.5875409838213471,0.6593119072789824,0.023622047244094495,0.2390111427675307,0.12244336496773306,0.07222409719878503,0.3767284991568298,0.0,0.0,0.0,1.0,0.0,0.0
2021-12-12 10:00:00,0.00011281707897232038,0.4265459215507445,0.564280393315157,0.49245901644225404,0.648766675024103,0.09842519685039372,0.2305059789314738,0.1324038903751443,0.05568680391495107,0.45059021922428344,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 11:00:00,0.00022395468039359653,0.3981879955637257,0.7471713919510434,0.5180327865861901,0.441361814097875,0.12598425196850396,0.22409865283884214,0.13892975184896547,0.03374957813027338,0.4357504215851603,0.0,0.0,0.0,1.0,0.0,1.0
2021-12-12 12:00:00,0.0007371446033822486,0.4332019884787275,0.7346936669463692,0.5809836056554957,0.5704247559327028,0.1614173228346457,0.21768306310603946,0.1396166846356835,0.017887276409044892,0.48296795952782473,0.0,1.0,1.0,1.0,0.0,1.0
2021-12-12 13:00:00,0.0008782207176699659,0.48323321796303936,0.8088153557632867,0.6386885241092195,0.6226682106384134,0.16929133858267717,0.2673141103534022,0.15850733627042896,0.00708741140735741,0.5625632377740304,0.0,1.0,1.0,1.0,1.0,0.0
2021-12-12 14:00:00,0.0015193430175903368,0.4765727826318912,0.9337157350586601,0.6213114754744105,0.44693135615344254,0.10236220472440948,0.36115450565589835,0.1433948149626326,0.0023624704691191365,0.6451939291736931,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 15:00:00,0.0018857612067703388,0.36950850912055905,0.941513214518971,0.5327868847634348,0.2837817054856661,0.0,0.4186269961855789,0.12038256660757901,0.007762402969962877,0.6988195615514334,1.0,1.0,1.0,1.0,1.0,1.0
2021-12-12 16:00:00,0.002035453771102544,0.3299516987961187,0.9582721332966326,0.4940983599353031,0.10382133007307155,0.0,0.477636899407084,0.06989300678380474,0.00539993250084374,0.7392917369308601,1.0,1.0,1.0,1.0,1.0,1.0
2021-12-12 17:00:00,0.0018450156209667437,0.2660150603228195,0.916268697213681,0.47442622978117716,0.05527539475962893,0.0,0.4985025908390038,0.06336714530998358,0.0026999662504218706,0.7359190556492412,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 18:00:00,0.0023362993150287314,0.19531613374983683,0.8247250437161805,0.5154098361286259,0.12239163980655551,0.0,0.4857563014951556,0.07023647317716375,0.00033749578130273366,0.7241146711635751,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-12 19:00:00,0.002152798137386375,0.12688118959619263,0.7518937792458944,0.5599999997483807,0.07873674333968325,0.0,0.4715631238813568,0.07916659940449797,0.0,0.7059021922428331,0.0,0.0,0.0,0.0,0.0,0.0
