Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
0.005082,0.9981553,0.1311383,1.972378584,2.840295,1.5,1345.651,1253.744,1073,480
0.0063945,1.3945398,0.169544,1.970189484,4.105611,2.8,1439.193,1242.915,1263,547
0.0179368,1.4218063,0.2123983,2.219746817,4.302813,1.7,1391.196,1265.076,1243,663
0.093583,1.5686868,0.1854615,1.952676691,4.435134,1.9,1218.288,1513.263,1253,874
0.2787628,1.6973023,0.1818205,2.307310798,4.438491,3.1,1104.68,1752.62,1084,961
0.4315815,1.7875663,0.1534553,2.449602258,4.383114,4.1,936.95,1752.183,956,882
0.4121625,1.9546613,0.1356843,2.042429763,4.291914,5.8,541.623,1493.206,861,843
0.4244103,1.9654408,0.1265453,1.86511271,4.306101,6.6,196.129,1656.95,815,791
0.4898643,1.948551,0.109278,1.587097082,4.11741,6.6,112.124,1585.151,668,705
0.4839068,1.8656078,0.0906503,1.541125996,3.699336,6.5,62.664,1561.481,573,748
0.3554565,1.6754025,0.0569485,1.330972448,2.684295,6,29.041,1478.514,468,775
0.2825515,1.336734,0.0542155,1.311270556,1.353627,5,21.628,1478.987,414,706
0.2244928,1.002846,0.080416,1.304703255,0.956355,3.5,49.68,1503.134,310,731
0.1646545,0.8339088,0.0452695,1.19743739,1.034628,2.9,222.744,1243.941,249,613
0.1251948,0.5949065,0.0180128,0.998229334,0.67959,1.8,424.77,1197.107,296,559
0.133077,0.6093955,0.0285285,0.904098061,1.031421,1.7,586.452,1230.648,447,576
0.151909,0.8208825,0.0379525,1.114251609,0.966681,2.5,553.353,1166.547,743,400
0.1473968,1.4082008,0.0446945,1.055145921,0.35472,5.2,449.665,947.938,1030,186
0.1817513,1.7118663,0.0343708,1.013553035,1.597221,6.7,482.205,882.92,1255,147
0.2230493,1.893956,0.038162,1.733766742,3.597177,8.7,492.499,708.365,1347,98
0.2043973,1.9497238,0.0151138,1.589286183,4.461597,10.5,536.887,574.548,1451,59
0.1883288,1.8728525,0.0098075,0.967581949,4.469436,11.3,640.834,389.535,1490,46
0.1773238,1.7084943,0.0378968,0.753050201,4.371864,11.3,846.713,323.587,1679,34
0.2151185,1.8088845,0.0364563,0.536329362,4.223742,12,898.957,261.603,1807,14
0.3536788,1.8586383,0.0321293,0.577922247,4.153083,11.5,874.481,147.008,1956,12
0.6638398,1.7068315,0.0413998,0.698322714,4.209651,8.8,858.106,98.215,1849,20
0.6209995,1.6927458,0.05139,0.956636448,3.654819,7.1,881.548,109.044,1596,36
0.5055033,1.7750023,0.0513555,1.070469623,3.548808,6.2,925.188,86.128,1458,39
0.4849163,1.7025393,0.0562273,0.969771049,0.456093,5.9,944.227,50.653,1431,63
0.3547333,1.7848853,0.1357058,0.996040243,1.392816,6.8,906.066,23.726,1616,75
0.280775,1.8025815,0.2078638,1.009174835,2.51529,7.3,959.572,10.006,1592,88
0.2675488,1.6808803,0.2471538,1.149277203,0.455934,7,1031.843,11.22,1701,104
0.2988693,1.811756,0.3024245,1.164600896,1.743027,7.6,963.721,14.767,2158,119
0.3875358,1.873017,0.3025728,1.760035936,4.145769,8,1012.4,23.57,2460,232
0.4369705,1.8576478,0.2746895,2.600650118,3.406665,8.7,1026.571,15.774,2463,375
0.5175178,1.786607,0.2049158,3.196085167,3.021789,8.7,1166.832,17.371,2339,504
0.499638,1.305936,0.1188308,3.482857186,1.144101,6,1147.848,11.726,2401,884
0.4432333,0.902679,0.079054,3.531017373,1.14693,3.8,1049.372,9.463,2474,1337
