Horizontalstrahlung;Oststrahlung;Südstrahlung;Weststrahlung;Nordstrahlung;Außentemperatur;Rel. Feuchte
215;114;263;120;114;1;82.4
292;119;610;277;119;1.9;76.8
242;106;489;348;106;2.3;75.5
24;16;12;12;16;0.9;79.2
5;3;1;0;3;-0.5;82.8
0;0;0;0;0;-0.7;82.2
0;0;0;0;0;-0.9;82.2
0;0;0;0;0;-1;83.6
0;0;0;0;0;-1.2;85.6
0;0;0;0;0;-1.4;84.6
0;0;0;0;0;-1.6;84.8
0;0;0;0;0;-1.8;85.4
0;0;0;0;0;-1.8;83.8
0;0;0;0;0;-1.8;85.7
0;0;0;0;0;-2;87.8
0;0;0;0;0;-2;92.7
0;0;0;0;0;-1.9;97.5
0;0;0;0;0;-1.9;97.8
0;0;0;0;0;-1.9;98.8
0;0;0;0;0;-1.9;96.9
18;9;10;14;14;-1.3;96.2
44;31;31;33;33;-0.6;90.9
63;47;47;48;48;0;90.3
76;58;57;58;58;0.6;87.6
82;62;62;62;62;1;87.5
76;58;58;58;58;1.2;87.5
61;46;45;45;46;1.3;87.5
34;26;23;23;26;1.1;80.8
5;3;1;0;3;0.6;87.6
0;0;0;0;0;0.5;89.9
0;0;0;0;0;0.4;92
0;0;0;0;0;0.3;90.5
0;0;0;0;0;-0.1;90.6
0;0;0;0;0;-0.1;87.6
0;0;0;0;0;-0.9;92.4
0;0;0;0;0;-0.6;93.9
0;0;0;0;0;-0.4;95.9
0;0;0;0;0;-0.5;93
0;0;0;0;0;-0.7;90.6
0;0;0;0;0;-0.7;87.7
0;0;0;0;0;-0.8;90.6
0;0;0;0;0;-0.8;90.6
0;0;0;0;0;-0.8;90.6
0;0;0;0;0;-0.8;90.6
7;1;2;5;5;-0.5;90.6
97;111;117;67;67;1.4;87.5
145;135;166;100;100;3;87.3
244;203;388;147;147;5.2;87.1
217;140;277;146;140;6.4;69.6
190;125;234;160;125;7;67.3
159;104;214;174;104;7.2;68.5
111;71;232;235;71;7;68.7
16;12;9;8;12;6;69.5
0;0;0;0;0;5.5;72.8
0;0;0;0;0;4.9;78.4
0;0;0;0;0;4.4;80.2
0;0;0;0;0;3.8;81.6
0;0;0;0;0;3.3;81
0;0;0;0;0;2.7;78.5
0;0;0;0;0;2.2;79.9
0;0;0;0;0;1.5;80.8
0;0;0;0;0;0.8;86.2
0;0;0;0;0;0;91.2
0;0;0;0;0;-0.3;91.3
0;0;0;0;0;-0.7;89
0;0;0;0;0;-1;94.2
0;0;0;0;0;-1.2;96.2
0;0;0;0;0;-1.2;99.7
52;157;123;32;32;0;96.3
113;134;142;68;68;1.3;88.4
189;181;247;106;106;2.9;77.8
245;185;356;133;133;4.4;72.4
288;141;501;156;141;5.6;70.2
196;113;238;153;113;5.9;67.5
146;88;168;138;88;5.8;64.2
60;39;43;43;39;5;66.3
4;3;1;0;3;3.9;70.1
0;0;0;0;0;3.3;72.3
0;0;0;0;0;2.6;76.5
0;0;0;0;0;2;78.6
0;0;0;0;0;1.4;77.4
0;0;0;0;0;0.8;82.3
0;0;0;0;0;0.1;84.1
0;0;0;0;0;-0.5;82.2
0;0;0;0;0;-1;84.2
0;0;0;0;0;-1.6;89.6
0;0;0;0;0;-2.1;88.6
0;0;0;0;0;-2.5;87.5
0;0;0;0;0;-2.8;86.2
0;0;0;0;0;-3;87.6
0;0;0;0;0;-3.2;91.9
1;0;0;0;0;-3.2;93.3
56;132;104;33;33;-1.7;91.2
126;179;192;70;70;0;86.5
111;76;81;69;69;0.7;82.5
155;101;125;94;94;1.5;76.1
201;115;219;119;115;2.5;73.2
284;126;514;251;126;3.9;69.9
215;99;408;296;99;4.4;67.6
182;80;465;475;80;4.6;68.2
18;12;10;8;12;3.3;70.3
0;0;0;0;0;2.9;71
0;0;0;0;0;2.6;72.5
0;0;0;0;0;2.2;70.9
0;0;0;0;0;1.9;70.5
0;0;0;0;0;1.5;74.2
0;0;0;0;0;1.1;77.4
0;0;0;0;0;0.8;82.3
0;0;0;0;0;0.6;79.3
0;0;0;0;0;0.4;80.3
0;0;0;0;0;0.3;82.8
0;0;0;0;0;0.2;85
0;0;0;0;0;0.2;86.4
0;0;0;0;0;0.1;86.9
0;0;0;0;0;0.1;89.9
1;0;0;0;0;0.2;94.7
93;499;368;41;41;2;86.1
228;597;654;74;74;4.3;77.2
337;495;829;103;103;6.4;70.1
407;315;943;119;119;8.2;60.5
434;126;989;161;126;9.6;57.8
395;116;925;377;116;10.4;55.9
310;97;786;537;97;10.6;61.7
190;66;584;599;66;10;64.1
60;29;294;452;29;8.8;72.2
0;0;0;0;0;7.4;76
0;0;0;0;0;7;77.6
0;0;0;0;0;6.6;79.6
0;0;0;0;0;6.2;79.9
0;0;0;0;0;5.8;77.8
