Horizontalstrahlung;Oststrahlung;Südstrahlung;Weststrahlung;Nordstrahlung;Außentemperatur;Rel. Feuchte
647;121;274;720;121;23.7;38.2
487;101;124;750;101;23.2;41.2
324;75;75;701;172;22.1;43.1
164;50;50;522;213;20.6;48.1
46;20;20;257;155;18.9;56.6
0;0;0;0;0;17.2;67.4
0;0;0;0;0;15.2;72.8
0;0;0;0;0;13.5;77.5
0;0;0;0;0;11.8;90
0;0;0;0;0;11.3;92.3
0;0;0;0;0;10.6;91.7
0;0;0;0;0;10.2;86.9
0;0;0;0;0;9.9;90.3
6;0;3;3;1;9.9;91.9
118;487;37;37;228;11.2;81.6
272;701;61;61;206;12.9;70.7
444;793;86;86;114;14.8;58.6
610;770;217;108;108;17.2;46.7
749;668;359;125;125;19.5;40.9
852;504;465;136;136;21.6;36.4
912;297;526;140;140;23.4;32.9
924;140;537;209;140;24.8;30.4
888;136;498;429;136;25.7;28.8
801;128;408;615;128;26.3;28
676;113;277;750;113;26.3;27.9
518;94;120;804;94;25.8;28.7
346;69;69;776;177;24.7;30.6
179;47;47;609;240;23.1;34.4
51;21;21;300;179;21.2;39.6
0;0;0;0;0;19.4;50.7
0;0;0;0;0;17.2;62.9
0;0;0;0;0;15.1;70.8
0;0;0;0;0;13.3;76.3
0;0;0;0;0;12.3;78.9
0;0;0;0;0;11.3;84.7
0;0;0;0;0;10.6;81.9
0;0;0;0;0;10.2;83
5;0;3;3;0;10.2;82.4
95;282;37;37;141;11.1;89.9
221;476;72;72;163;12.3;86.1
384;614;105;105;124;13.6;77.4
530;639;212;127;127;15.5;69.4
626;549;325;156;156;17.2;54.3
753;464;433;168;168;18.9;49.8
830;306;502;169;169;20.5;44.4
825;166;504;224;166;21.6;40.3
774;167;457;401;167;22.3;38.2
715;154;388;560;154;22.7;39.5
587;138;265;627;138;22.7;39.9
455;114;135;656;114;22.2;40.5
310;81;81;652;167;21.2;43.2
155;48;48;466;191;19.9;47.6
44;20;20;242;145;18.3;52.4
0;0;0;0;0;16.7;61.2
0;0;0;0;0;15.2;68.1
0;0;0;0;0;13.7;73
0;0;0;0;0;12.7;81.5
0;0;0;0;0;12.4;85.3
0;0;0;0;0;12.1;91.2
0;0;0;0;0;11.9;92.7
0;0;0;0;0;11.8;88.7
5;0;3;3;1;11.9;86.7
111;424;36;36;201;13.3;81
243;548;72;72;179;15;70.6
388;636;100;100;120;17.3;61.5
555;701;216;120;120;19.8;53.9
667;591;341;151;151;22.1;40.2
751;467;435;159;159;24.1;33.6
811;300;493;166;166;25.9;30.9
821;167;503;224;167;27.3;28.9
782;162;464;404;162;28.3;27.7
701;150;382;550;150;28.8;28.9
600;137;273;656;137;28.9;27.4
452;115;137;648;115;28.5;26.8
306;83;83;608;161;27.4;28.1
161;51;51;479;197;26;30.9
48;21;21;275;163;24.3;36.2
0;0;0;0;0;22.6;45
0;0;0;0;0;20.4;54.8
0;0;0;0;0;18.3;61.8
0;0;0;0;0;16.1;70.2
0;0;0;0;0;14.5;79.4
0;0;0;0;0;13;83.8
0;0;0;0;0;12.2;86
0;0;0;0;0;11.7;86.3
5;0;3;3;0;11.7;88.9
111;413;38;38;197;12.9;86.3
257;623;72;72;196;14.4;79.4
412;714;97;97;120;16.5;67.9
555;699;219;123;123;18.7;59.9
675;609;349;150;150;20.7;49.6
775;481;449;160;160;22.5;49
811;300;495;165;165;24;47.4
825;166;507;223;166;25.2;47.2
798;164;475;412;164;26;44.8
714;147;389;562;147;26.4;41.7
605;135;276;665;135;26.5;39.3
459;111;136;669;111;25.9;42.3
315;84;84;658;168;24.9;43.6
169;53;53;533;215;23.5;48
49;21;21;293;173;21.8;51.7
0;0;0;0;0;20.1;62.9
0;0;0;0;0;18.3;69.8
0;0;0;0;0;16.5;74.9
0;0;0;0;0;14.8;77.3
0;0;0;0;0;14;78.5
0;0;0;0;0;13.5;79.4
0;0;0;0;0;13.2;84.2
0;0;0;0;0;13;84.4
5;0;3;3;0;13;85.3
117;361;44;44;178;14.2;79.7
106;68;54;54;57;14.6;77.6
236;221;102;102;106;15.7;76.1
383;362;178;141;141;17.2;71
831;748;421;169;169;20.4;55.2
1013;617;575;198;198;23.4;44.6
628;247;392;146;146;24.2;40.6
230;113;125;115;113;23.1;45.7
417;171;237;223;171;23.2;43.4
567;169;315;417;169;23.9;40.7
359;147;181;274;147;23.7;41.8
48;26;26;23;26;22.3;47
32;17;17;14;17;21;51.1
17;9;9;5;8;19.9;53.2
5;3;3;0;1;18.8;57.9
0;0;0;0;0;17.9;62
0;0;0;0;0;17;66.4
0;0;0;0;0;15.9;84.1
0;0;0;0;0;15.2;79.8
0;0;0;0;0;14.7;87.9
0;0;0;0;0;14.1;87.7
0;0;0;0;0;13.8;87.6
0;0;0;0;0;13.5;84.6
3;0;1;1;0;13.6;84.1
34;15;18;18;17;14.2;81.6
58;29;30;30;30;14.6;82.8
106;58;55;55;55;15.3;77.2
213;130;108;104;104;16.3;79.8
451;340;243;168;168;18.6;60.9
526;316;303;186;186;20.6;51.2
605;264;360;198;198;22.4;46
703;193;430;232;193;24.2;40.2
624;187;373;334;187;25.3;38.8
441;173;239;285;173;25.6;37
507;162;249;483;162;26.1;36.2
552;116;151;849;116;26.6;35
399;79;79;901;196;26.7;36.4
207;51;51;724;276;26;36.9
57;22;22;410;237;24.8;41.6
0;0;0;0;0;23.6;47.8
0;0;0;0;0;21.6;53.3
0;0;0;0;0;19.6;56
0;0;0;0;0;17.6;60
0;0;0;0;0;15.7;66.9
0;0;0;0;0;13.7;78.7
0;0;0;0;0;13;84.5
0;0;0;0;0;12.4;84.2
4;0;2;2;0;12.3;84.1
117;536;34;34;245;13.6;82.3
274;744;59;59;210;15.5;80.6
447;816;82;82;106;17.8;68.5
610;787;221;104;104;20.2;62.6
748;679;366;122;122;22.4;50.8
848;510;473;134;134;24.5;48
902;301;532;140;140;26.2;43.1
915;140;544;206;140;27.5;40.2
879;137;505;425;137;28.4;37.3
797;128;417;614;128;28.9;36.2
673;112;286;749;112;28.9;35.2
519;91;127;816;91;28.4;34.5
347;67;67;794;169;27.3;38.1
181;46;46;642;244;25.6;40.2
49;20;20;351;203;23.8;47.9
0;0;0;0;0;21.9;57.5
0;0;0;0;0;20.2;63.3
0;0;0;0;0;18.4;75.6
0;0;0;0;0;16.7;86.9
0;0;0;0;0;16.1;83.9
0;0;0;0;0;15.5;85.1
0;0;0;0;0;15.1;81.9
0;0;0;0;0;14.8;87
4;0;2;2;0;14.9;84.4
117;536;34;34;245;16.6;78.3
289;781;64;64;221;18.8;67.2
456;832;85;85;109;21.2;58
656;846;249;124;124;23.9;49.4
711;654;367;142;142;25.9;37.3
833;520;486;166;166;27.9;32.5
387;188;223;164;164;27.6;35.6
481;190;280;205;190;27.7;35.4
495;191;283;262;191;27.8;38
427;170;233;275;170;27.7;38.6
319;146;162;205;146;27.1;38.4
248;115;118;175;115;26.2;51
124;62;62;77;65;25.1;42.8
44;23;23;21;23;23.6;58.4
6;3;3;0;1;22.5;77.2
0;0;0;0;0;20.8;79.7
0;0;0;0;0;19.1;79.8
0;0;0;0;0;17.4;79.8
0;0;0;0;0;15.7;79.8
0;0;0;0;0;14.5;83.8
0;0;0;0;0;13.5;87.6
0;0;0;0;0;12.9;92.4
0;0;0;0;0;12.5;90.7
4;0;2;2;0;12.5;92.5
96;384;33;33;180;13.6;78
213;478;68;68;158;15;70.9
384;638;100;100;116;17.2;68.2
527;665;219;125;125;19.4;60
675;606;353;153;153;21.7;48.9
708;445;420;169;169;23.4;44
744;295;464;177;177;24.8;37.3
695;193;429;231;193;25.7;35.3
637;189;384;340;189;26.2;33.5
538;178;298;377;178;26.3;34.5
541;155;260;532;155;26.4;34.2
447;112;142;651;112;26.1;36.2
319;75;75;702;161;25.4;39.3
170;45;45;595;225;24.1;43.5
25;13;13;22;18;22.5;45.5
0;0;0;0;0;20.4;54.5
0;0;0;0;0;18.2;63
0;0;0;0;0;16;67.6
0;0;0;0;0;13.8;75.4
0;0;0;0;0;12.8;82.2
0;0;0;0;0;11.6;86.3
0;0;0;0;0;11;90.7
0;0;0;0;0;10.5;91.7
1;0;1;1;0;10.5;91.8
34;16;18;18;17;10.7;87
76;42;39;39;40;11;90.3
109;61;56;56;56;11.3;84
349;297;166;138;138;12.5;74.6
441;335;240;165;165;13.5;73
103;55;55;55;55;13.2;73.5
111;59;60;59;59;12.9;79.9
848;188;531;241;188;14.5;69.8
593;182;360;319;182;15.3;68
921;190;506;709;190;16.8;62.3
705;147;325;780;147;17.5;59.8
335;124;138;365;124;17.3;61.3
155;73;73;143;82;16.3;81
164;57;57;425;176;15.9;79.8
13;7;7;2;4;14.9;73.1
0;0;0;0;0;13.7;76.9
0;0;0;0;0;12.9;80.2
0;0;0;0;0;11.9;83
0;0;0;0;0;11;87.2
0;0;0;0;0;10.6;87.1
0;0;0;0;0;10;89
0;0;0;0;0;9.6;88.2
0;0;0;0;0;9.3;97.8
3;0;2;2;0;9.1;100
105;468;35;35;215;9.9;100
277;736;67;67;211;11;95.7
463;853;93;93;113;12.4;88.6
643;838;242;112;112;13.5;79.9
786;728;401;138;138;15.2;70.1
784;494;466;168;168;16.3;64.6
672;285;415;194;194;16.7;63.4
525;190;320;210;190;16.6;64.9
502;184;300;272;184;16.3;79.8
571;173;325;420;173;16.3;67.4
468;160;233;417;160;15.9;68.9
343;133;147;362;133;15.2;71.6
242;93;93;339;125;14.3;77.8
109;49;49;184;93;13.4;81.7
14;7;7;2;5;12.3;84.5
0;0;0;0;0;11.2;93.7
0;0;0;0;0;10.1;95.3
0;0;0;0;0;9;100
0;0;0;0;0;9.5;99.3
0;0;0;0;0;9.5;99.5
0;0;0;0;0;9.4;100
0;0;0;0;0;9.2;100
0;0;0;0;0;9.1;100
3;0;2;2;0;9;100
87;310;35;35;149;9.8;100
216;508;66;66;160;11;95.4
379;646;96;96;109;12.4;90.3
530;676;224;125;125;13.7;79.2
641;580;343;151;151;15.4;66.8
718;454;430;161;161;16.9;59.3
788;303;496;170;170;18.2;58.7
784;178;498;227;178;19.2;56.2
773;162;477;400;162;19.9;51.8
698;147;398;553;147;20.2;52.2
570;136;274;615;136;20.2;53.8
447;109;145;680;109;19.8;57.5
286;80;80;580;144;18.8;60.9
144;47;47;439;173;17.5;65.4
17;9;9;5;7;15.9;68.6
0;0;0;0;0;14.5;78
0;0;0;0;0;13.3;85.3
0;0;0;0;0;12.2;89.7
0;0;0;0;0;11;93.4
0;0;0;0;0;10.8;95.7
0;0;0;0;0;10.6;95.7
0;0;0;0;0;10.4;98.6
0;0;0;0;0;10.3;90.5
2;0;1;1;0;10.3;92.4
87;323;34;34;153;11.4;86.1
216;517;65;65;161;12.9;77.9
371;629;97;97;109;14.7;72.5
513;638;218;124;124;17;64
656;607;354;145;145;19.3;54
757;482;456;153;153;21.5;49.7
801;304;507;164;164;23.3;45.7
812;165;518;219;165;24.7;38.7
796;165;493;411;165;25.7;37.4
741;141;419;588;141;26.4;38.6
629;119;292;714;119;26.6;38.7
477;97;140;755;97;26.3;42.8
326;68;68;750;155;25.3;49.1
168;44;44;611;224;23.8;55
19;10;10;9;9;22;62.6
0;0;0;0;0;21.4;72.7
0;0;0;0;0;20.8;78.9
0;0;0;0;0;20.3;81.7
0;0;0;0;0;19.7;79.7
0;0;0;0;0;19.8;75
0;0;0;0;0;19.9;76.6
0;0;0;0;0;20;78.4
0;0;0;0;0;20;79.7
1;0;0;0;0;20;89
23;8;12;12;10;20.5;92.1
48;22;25;25;25;20.9;88.8
77;40;41;41;41;21.1;90.4
128;70;67;66;66;22.1;79.7
159;87;84;82;82;22.6;79.7
172;92;92;89;89;23.2;79.7
192;100;104;98;98;23.6;79.7
203;103;110;104;103;24.1;79.7
193;99;104;103;99;24.5;70.4
171;88;91;93;88;24.6;79.7
129;67;68;70;67;24.6;79.7
103;54;54;55;54;24.5;73.9
70;37;37;36;37;24.1;82.2
39;21;21;18;20;23.8;85.1
4;2;2;0;0;22;97.7
0;0;0;0;0;22.2;91.7
0;0;0;0;0;21.8;95.4
0;0;0;0;0;21.6;91.4
0;0;0;0;0;20.7;97.7
0;0;0;0;0;20.4;94.3
0;0;0;0;0;19.4;97.7
0;0;0;0;0;19.2;96.1
0;0;0;0;0;19;97.7
1;0;1;1;0;18.9;97.7
30;13;16;16;15;19.2;96.1
75;42;39;39;39;19.8;95.3
123;71;63;63;63;20.5;94.3
154;87;80;79;79;21;91.1
190;106;101;96;96;21.5;88.4
222;120;120;112;112;22;85.1
276;142;150;137;137;22.6;80.4
256;128;140;130;128;22.9;79.5
234;118;127;124;118;23.1;78.9
195;100;104;107;100;23.2;83.7
164;84;86;92;84;23.1;81.7
135;69;70;76;69;23;83
97;50;50;55;50;22.7;82.4
42;22;22;19;21;22.2;81.1
4;2;2;0;0;21.6;88.3
0;0;0;0;0;21.1;93.8
0;0;0;0;0;20.6;97.7
0;0;0;0;0;19.6;98.5
0;0;0;0;0;20.3;95.8
0;0;0;0;0;20.4;94.3
0;0;0;0;0;20.4;95.7
0;0;0;0;0;20.4;91.8
0;0;0;0;0;20.2;97.7
1;0;0;0;0;20.3;96.1
33;16;17;17;17;20.6;97.7
91;56;46;46;48;20.8;98.5
176;119;86;86;86;23;84.7
205;125;105;101;101;23.9;86.6
216;122;114;107;107;24.5;83.1
276;150;149;134;134;25.3;80.1
218;114;118;110;110;25.6;79.5
185;95;100;96;95;25.6;79.1
230;116;124;122;116;25.9;73.1
164;84;87;89;84;25.8;73.4
114;60;60;61;60;25.5;79.6
146;75;75;85;75;25.4;76.4
121;61;61;76;63;25.2;75.4
41;22;22;19;21;24.7;78.4
4;2;2;0;1;24.2;82.3
0;0;0;0;0;24.1;78.4
0;0;0;0;0;24;75.8
0;0;0;0;0;23.9;76.6
0;0;0;0;0;23.8;82.9
0;0;0;0;0;23.8;88.2
0;0;0;0;0;24.1;86.6
0;0;0;0;0;24.2;86.1
0;0;0;0;0;24.3;85.8
1;0;0;0;0;24.3;85.7
18;4;9;9;7;24.6;84.2
65;35;34;34;34;25.3;80.9
133;79;68;68;68;26.1;76.9
177;103;92;89;89;26.2;76.6
245;141;130;120;120;28.1;68.6
266;145;144;130;130;28.9;65.4
240;125;131;121;121;29.4;55.6
229;116;125;117;116;29.7;53.8
227;114;123;120;114;30;52.7
196;100;105;108;100;30.1;56.5
159;81;84;88;81;30.1;57.5
116;60;61;64;60;29.9;54.9
76;40;40;41;40;29.5;59.2
34;18;18;14;17;29;59.9
3;2;2;0;0;28.3;67.7
0;0;0;0;0;27.9;69.5
0;0;0;0;0;27;73.2
0;0;0;0;0;26.7;74.5
0;0;0;0;0;26.1;77
0;0;0;0;0;25.5;79.7
0;0;0;0;0;24.9;82.6
0;0;0;0;0;24.6;84
0;0;0;0;0;23.9;87.8
1;0;0;0;0;24.5;84.8
27;11;14;14;13;24.9;82.5
71;39;37;37;37;25.6;79.2
129;76;66;66;66;26.5;75.3
199;120;103;98;98;27.5;71
269;158;143;130;130;28.6;58
247;134;133;123;123;29.1;64.5
319;162;176;152;152;30;61.4
502;194;299;209;194;31.4;50.2
536;188;326;289;188;32.6;41.7
434;170;243;283;170;33.1;51
403;151;212;350;151;33.7;42.7
435;124;164;618;124;34.2;41.4
357;84;84;810;166;34.4;39.8
154;50;50;486;183;33.9;41
16;8;8;5;7;33;40.9
0;0;0;0;0;31.1;50.1
0;0;0;0;0;29.3;59.1
0;0;0;0;0;27.4;69.2
0;0;0;0;0;25.6;75.7
0;0;0;0;0;23.7;83.6
0;0;0;0;0;21.7;95.8
0;0;0;0;0;20.7;100
0;0;0;0;0;19.9;100
1;0;1;1;0;19.9;100
74;241;31;31;115;20.8;98.6
260;666;72;72;190;22.8;85.6
343;517;108;108;112;24.4;73.2
286;234;143;121;121;24.8;79.7
69;36;36;37;37;24.2;79.7
316;184;182;141;141;24.7;67.4
479;227;285;188;188;25.6;65.5
559;194;349;216;194;26.6;59.1
663;188;415;352;188;27.6;54
665;164;396;520;164;28.4;52.3
302;130;159;224;130;28.1;66.4
270;114;125;244;114;27.4;71.3
223;85;85;325;112;27.4;71.4
77;38;38;83;52;26.5;64.5
4;2;2;0;0;25.5;57.9
0;0;0;0;0;23.7;63.3
0;0;0;0;0;22;68.6
0;0;0;0;0;20.2;73.3
0;0;0;0;0;18.4;78.6
0;0;0;0;0;17.3;85
0;0;0;0;0;16.1;88.2
0;0;0;0;0;15.5;89.2
0;0;0;0;0;15;90.3
1;0;1;1;0;14.9;92
74;294;30;30;135;15.9;84.7
203;488;66;66;149;17.6;81.5
347;596;96;96;100;19.6;76.8
497;627;227;126;126;21.7;72.6
612;563;346;151;151;23.7;57.4
706;456;442;165;165;25.6;54.8
792;311;519;173;173;27.3;51.3
807;163;535;216;163;28.6;49.3
769;158;497;401;158;29.6;49.2
705;149;422;565;149;30.1;48.5
586;132;300;664;132;30.2;49.8
460;97;153;743;97;29.9;48.3
307;70;70;720;140;28.9;53.5
161;42;42;619;215;27.6;56.2
15;8;8;5;6;25.8;63.8
0;0;0;0;0;25.1;74.5
0;0;0;0;0;24.4;79.4
0;0;0;0;0;23.8;80.4
0;0;0;0;0;23.1;82.1
0;0;0;0;0;23.2;84.3
0;0;0;0;0;23.5;85.2
0;0;0;0;0;23.6;85.8
0;0;0;0;0;23.6;84.1
1;0;0;0;0;23.4;87.5
11;1;6;6;4;23.9;86.8
25;9;13;13;13;23.7;88.8
45;21;24;24;24;24.4;84.3
68;35;36;36;36;24.9;80.8
85;45;45;45;45;25.3;79.7
102;54;54;54;54;25.5;79.9
117;62;63;62;62;25.9;77.9
106;56;57;56;56;26;77.4
109;57;58;58;57;26.1;77.2
96;51;51;51;51;25.9;77.8
77;41;41;40;41;25.7;78.7
59;32;31;29;32;24.6;84.2
36;20;20;16;19;25.1;81.5
20;11;11;6;10;26.3;76.3
3;2;2;0;0;26;77.3
0;0;0;0;0;25.6;79.3
0;0;0;0;0;25.1;79.7
0;0;0;0;0;24.7;79.7
0;0;0;0;0;24.3;79.7
0;0;0;0;0;22;86.9
0;0;0;0;0;19.3;97.7
0;0;0;0;0;17.8;97.7
0;0;0;0;0;16.7;97.7
1;0;0;0;0;16.3;97.7
81;427;29;29;184;17.5;94.3
224;651;56;56;170;19.6;80.2
388;754;81;81;82;22;71.9
546;748;238;105;105;24.5;62.2
681;659;384;127;127;26.9;50.8
777;505;492;145;145;29.1;43.1
838;311;558;151;151;30.9;39.3
857;149;575;208;149;32.3;37.6
810;149;528;418;149;33.2;34.3
733;136;441;593;136;33.6;34.8
617;120;312;713;120;33.5;35.6
465;92;154;765;92;32.7;38.6
305;68;68;727;135;31.2;41.8
146;42;42;557;193;29.2;47.8
11;6;6;1;3;26.8;53.8
0;0;0;0;0;24.4;66.3
0;0;0;0;0;22;74.3
0;0;0;0;0;19.6;85
0;0;0;0;0;17.2;96.4
0;0;0;0;0;17.3;95.8
0;0;0;0;0;17.4;90.8
0;0;0;0;0;17.5;89.8
0;0;0;0;0;17.5;97.8
1;0;0;0;0;17.6;98.3
64;214;28;28;100;18.6;93.6
110;90;53;53;60;19.5;94.1
221;219;95;95;95;20.8;86.7
213;133;110;103;103;21.5;91.9
371;256;206;159;159;22.7;84
441;260;258;178;178;24.2;79.7
463;221;278;185;185;25.3;67.3
606;196;385;222;196;26.7;56.9
645;188;412;346;188;27.9;50.4
360;156;205;229;156;28.1;51.2
288;134;150;184;134;28;52.2
143;73;74;83;73;27.2;54.6
24;13;13;10;13;26.1;55.9
58;30;30;37;32;25.3;57.8
6;3;3;0;1;24.4;62.4
0;0;0;0;0;23.8;64.4
0;0;0;0;0;23.3;65
0;0;0;0;0;22.1;84
0;0;0;0;0;22.2;79.7
0;0;0;0;0;21.6;84
0;0;0;0;0;20.9;89.8
0;0;0;0;0;20.5;89.8
0;0;0;0;0;20.3;85.7
0;0;0;0;0;20.1;84.9
26;11;14;14;13;20.6;85.2
94;63;48;48;50;21.5;79.7
169;115;82;82;82;22.4;66.3
263;177;134;122;122;23.6;60.8
336;229;188;148;148;24.8;54
382;224;223;166;166;25.8;49.4
455;218;274;183;183;26.9;44.6
429;183;258;193;183;27.6;44.3
414;177;246;225;177;28.1;42.8
320;150;174;185;150;28.3;42.2
269;127;141;168;127;28.3;42.1
225;106;111;158;106;28;42.7
154;73;73;123;77;27.6;43.6
53;27;27;31;28;26.8;46.9
2;1;1;0;0;25.9;49.8
0;0;0;0;0;25;65.6
0;0;0;0;0;23.4;83.9
0;0;0;0;0;22.9;84
0;0;0;0;0;22.1;79.7
0;0;0;0;0;21.5;79.7
0;0;0;0;0;21;84
0;0;0;0;0;20.6;84.1
0;0;0;0;0;20;84.7
0;0;0;0;0;20.4;84
31;16;16;16;16;20.8;84
126;148;58;58;74;22;79.7
220;214;97;96;96;23.4;79.7
324;276;164;133;133;24.9;79.7
395;281;220;161;161;26.3;59.9
445;263;262;178;178;27.5;45.3
476;226;288;187;187;28.6;43.5
547;191;350;213;191;29.6;39.4
486;180;305;267;180;30.3;37.3
486;172;289;343;172;30.8;36.7
397;150;216;348;150;31;37.1
319;126;148;345;126;30.9;37.8
212;85;85;303;105;30.4;36
77;37;37;93;53;29.5;36.3
2;1;1;0;0;28.4;38
0;0;0;0;0;26.6;45.3
0;0;0;0;0;24.9;49.7
0;0;0;0;0;23.1;51.8
0;0;0;0;0;21.4;54.2
0;0;0;0;0;19.8;63
0;0;0;0;0;18.2;68.9
0;0;0;0;0;17.3;70.6
0;0;0;0;0;16.6;85
0;0;0;0;0;16.7;87.9
39;31;20;20;24;17.2;84
113;118;54;54;65;18.1;79.8
262;329;104;102;102;19.7;63.9
391;400;196;138;138;21.4;58.4
454;358;262;165;165;22.8;52.7
529;327;326;182;182;24.2;43.5
538;249;343;190;190;25.2;39.3
539;191;346;212;191;26;36.2
483;186;291;258;186;26.4;36.6
448;165;269;316;165;26.7;34.9
632;139;339;728;139;27.3;34.1
502;106;183;828;106;27.6;34.6
263;81;81;550;123;27;38.1
105;43;43;274;108;26;43.4
6;3;3;0;1;24.8;43.8
0;0;0;0;0;22.8;53.1
0;0;0;0;0;20.8;58.3
0;0;0;0;0;18.8;67.1
0;0;0;0;0;16.9;75.9
0;0;0;0;0;15.4;81.5
0;0;0;0;0;13.9;85.9
0;0;0;0;0;13.4;84
0;0;0;0;0;12.9;88.8
0;0;0;0;0;12.9;86.5
56;196;25;25;89;13.5;81
96;69;48;48;52;13.9;76.5
186;138;89;88;88;14.8;70.1
300;251;154;126;126;16.1;65.2
355;246;200;153;153;17.2;77.1
404;238;238;172;172;18.3;58
367;184;206;171;171;18.9;53.6
455;189;277;201;189;19.6;65.1
477;184;287;255;184;19.9;79.3
509;176;305;363;176;20.9;60.7
477;149;262;479;149;21.3;46.9
389;118;163;533;118;21.4;50
315;78;78;750;136;21.3;49.4
143;45;45;549;186;20.6;50.4
12;6;6;3;5;19.6;55.6
0;0;0;0;0;17.9;63.8
0;0;0;0;0;16.2;69.1
0;0;0;0;0;14.5;75
0;0;0;0;0;13.2;82.7
0;0;0;0;0;12.2;88.7
0;0;0;0;0;11.2;92
0;0;0;0;0;10.6;97.5
0;0;0;0;0;10.2;97.6
0;0;0;0;0;10;97.8
73;425;27;27;175;10.8;95.9
218;688;52;52;162;12.2;99.7
389;797;89;76;76;13.6;97.1
558;781;256;100;100;15.9;95.6
697;677;404;120;120;18.1;83.2
791;516;518;134;134;20;75
843;310;579;145;145;21.7;67.4
854;146;591;206;146;22.9;60.6
805;144;549;420;144;23.7;59.7
722;133;456;596;133;24.1;60.7
585;124;321;688;124;24;62.2
434;95;166;724;95;23.4;64.4
271;72;72;646;120;22.2;70.6
118;38;38;437;148;20.6;79.5
5;3;3;0;1;18.8;94.1
0;0;0;0;0;19.1;96.3
0;0;0;0;0;19.4;97.3
0;0;0;0;0;19.7;100
0;0;0;0;0;20;100
0;0;0;0;0;20.6;86.4
0;0;0;0;0;22;82.7
0;0;0;0;0;22.7;82.7
0;0;0;0;0;23.2;86.4
0;0;0;0;0;23.2;86.3
19;5;10;10;8;23.7;83.7
59;31;31;31;31;24.6;79.6
107;60;55;55;55;25.5;75.2
156;89;82;79;79;26.7;65
192;108;102;96;96;27.7;50.4
228;124;124;115;115;28.7;59.2
240;125;131;120;120;29.3;60.4
240;121;132;122;121;30.1;57.6
229;115;125;122;115;30.5;56.3
205;102;110;114;102;30.7;55.8
168;85;89;95;85;31;54.7
121;62;63;68;62;29.4;59.9
75;39;39;40;39;29.9;58.2
34;18;18;14;17;30.1;57.7
2;1;1;0;0;29.5;59.8
0;0;0;0;0;28.5;63.1
0;0;0;0;0;27.6;66.7
0;0;0;0;0;26.6;70.5
0;0;0;0;0;25.7;74.5
0;0;0;0;0;22.6;82.7
0;0;0;0;0;19.3;82.8
0;0;0;0;0;17.6;83.4
0;0;0;0;0;16.3;88.5
0;0;0;0;0;16.2;91
62;365;25;25;149;17;90.4
198;601;55;55;146;18.6;83.5
355;689;105;90;90;20.5;74.3
518;727;256;109;109;22.7;59.5
659;654;401;127;127;24.8;50.3
756;502;510;144;144;26.7;45.8
821;311;579;150;150;28.3;41.3
827;153;588;211;153;29.6;38.2
798;145;553;420;145;30.4;32.8
702;139;454;583;139;30.9;33.3
586;117;325;701;117;30.9;32.4
429;94;169;726;94;30.3;32.1
263;71;71;632;115;29.1;36.2
112;37;37;417;140;27.6;40.1
5;3;3;0;1;25.8;46.1
0;0;0;0;0;23.3;56.2
0;0;0;0;0;20.8;62.6
0;0;0;0;0;18.4;71.4
0;0;0;0;0;15.9;80.5
0;0;0;0;0;14.6;85.2
0;0;0;0;0;13.5;88.7
0;0;0;0;0;13;90.8
0;0;0;0;0;12.6;89.6
0;0;0;0;0;12.5;88.2
58;350;23;23;141;13.3;84.7
183;519;54;54;130;14.7;81.2
341;663;105;89;89;17;71.6
500;701;253;110;110;19.5;57
637;630;395;134;134;21.9;50.7
725;485;495;146;146;24.1;43.2
800;310;569;157;157;26.1;38.2
810;159;580;215;159;27.6;37.6
781;151;546;416;151;28.8;34.8
706;136;460;589;136;29.4;33.8
601;113;333;725;113;29.6;33.1
453;87;174;787;87;29.3;34.9
291;63;63;758;114;28.2;36.6
128;36;36;565;177;26.6;37
6;3;3;0;1;24.8;41.8
0;0;0;0;0;22.4;55.3
0;0;0;0;0;20.1;63.2
0;0;0;0;0;17.8;68.8
0;0;0;0;0;15.4;76.5
0;0;0;0;0;13.6;84
0;0;0;0;0;12.3;86.8
0;0;0;0;0;11.4;89.3
0;0;0;0;0;10.8;89.3
0;0;0;0;0;10.7;90.7
47;231;21;21;96;11.1;87
144;251;60;60;91;11.9;84.8
280;371;114;106;106;13;81.9
381;397;200;135;135;14;75.3
520;457;318;160;160;15.5;71.4
655;436;446;166;166;17.2;60.6
701;291;499;169;169;18.5;58.4
690;187;476;225;187;19.5;53.3
749;160;527;404;160;20.4;47.6
623;156;408;506;156;20.8;45.4
514;145;298;566;145;20.8;47.4
303;116;145;347;116;20.1;50.2
175;74;74;213;84;19;56.2
66;32;32;65;41;17.6;60.4
1;1;1;0;0;16.2;65.6
0;0;0;0;0;15.2;75.4
0;0;0;0;0;14.1;81.8
0;0;0;0;0;13.3;87.8
0;0;0;0;0;12.5;92.3
0;0;0;0;0;12.6;87.4
0;0;0;0;0;12.6;91.7
0;0;0;0;0;12.7;92.3
0;0;0;0;0;12.7;95.1
0;0;0;0;0;12.7;96.1
29;19;15;15;16;13.1;98.2
93;70;46;46;50;13.7;90.3
252;329;106;98;98;15.7;83.7
348;349;186;132;132;17.7;77
367;263;211;151;151;19;82.8
491;307;313;176;176;20.8;62.9
363;182;206;168;168;21.4;59.3
406;174;250;184;174;22.1;58
591;175;402;325;175;23.4;53.4
267;126;146;154;126;23.2;49.8
