Roof tilt: 15° (Vienna);Azi80Tilt27Wp460;Gesamtquartier;Azi-100Tilt15Wp460;BICHL_100 kWp 90%;V1oPBlend_ges;Var_Planstand_Pilzgasse
0.05833333333333333;0.037;94.8720488198842;0.031;34.677;11.62;56.922
0.004;0.024;52.266132527071406;0.013;18.693900000000003;7.18;10.165
0;0;0;0;1.3869;0.08;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.004;0.006;16.524109604107807;0.006;1.8612000000000002;1.83;17.173
0.06333333333333334;0.015;42.08163792453515;0.016;17.627399999999998;4.74;53.37
0.224;0.025;71.89373641898344;0.027;37.7946;8;81.591
0.16133333333333333;0.03;83.10265046695505;0.031;47.0565;9.27;97.113
0.18833333333333332;0.032;88.22500504452485;0.033;49.3569;9.96;105.621
0.19833333333333333;0.028;77.20893197511964;0.029;44.9298;8.67;83.197
0.153;0.017;47.589674459237756;0.018;34.9029;5.18;55.59
0.07666666666666667;0.007;19.27812787145911;0.007;19.1529;2.15;20.867
0;0;0;0;1.5309000000000001;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.013;0.013;66.38569988428084;0.027;1.7793;9.01;23.882
0.03333333333333333;0.032;121.54444708984836;0.046;17.9298;15.43;94.675
0.07266666666666667;0.058;206.20799269127286;0.074;37.719;27.38;155.099
0.06999999999999999;0.078;239.66603114774125;0.082;46.8378;31.22;106.33
0.06;0.097;268.4778474878741;0.083;49.0338;36.02;10.906
0.05933333333333333;0.098;240.42545509164339;0.065;44.7372;33.51;43.781
0.041;0.07;155.08696606523645;0.036;34.8372;22.16;32.702
0.015333333333333332;0.025;55.0201507944227;0.014;19.3599;7.47;2.475
0;0;0;0;1.6029;0.07;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0.08;0.282
0.036;0.014;54.2547568653388;0.021;2.0808;7.01;17.555
0.076;0.034;179.33068479718233;0.068;18.080099999999998;25.43;80.136
0.09133333333333334;0.045;136.99586266628097;0.051;37.642500000000005;16.16;60.926
0.09466666666666666;0.049;139.40637489836107;0.051;46.8594;16.11;87.937
0.064;0.035;97.69835028539879;0.036;49.032900000000005;11.06;103.653
0.06233333333333333;0.039;106.5931725905735;0.039;44.677800000000005;12.21;16.405
0.03866666666666667;0.039;99.31945997247155;0.032;34.899300000000004;12.06;31.951
0.004666666666666667;0.007;19.27812787145911;0.007;19.4229;2.04;20.428
0;0;0;0;1.6668;0.08;0.281
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.08866666666666667;0.004;11.016073069405206;0.004;1.8549;1.14;5.331
0.14933333333333335;0.009;25.557528320427345;0.01;18.3267;2.9;15.884
0.19533333333333333;0.015;42.08163792453515;0.016;37.6569;4.61;27.477
0.22466666666666668;0.017;47.589674459237756;0.018;46.9305;5.31;32.2
0.225;0.017;47.589674459237756;0.018;49.156200000000005;5.18;33.123
0.20433333333333334;0.014;38.941937700051035;0.014;45.7029;4.24;27.415
0.166;0.01;27.540182673513016;0.01;35.207100000000004;2.99;16.734
0.11;0.004;11.016073069405206;0.004;19.9953;1.24;6.146
0.0006666666666666666;0;0;0;1.9629;0.07;0.279
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.014333333333333332;0.013;83.00622997767186;0.034;1.8521999999999998;11.48;4.888
0.037333333333333336;0.037;178.06514979094072;0.068;18.5184;24.17;13.107
0.06566666666666666;0.067;278.7768012104352;0.097;37.725300000000004;39.35;20.833
0.07633333333333334;0.103;339.65459323521;0.107;46.7757;48.25;27.347
0.06466666666666666;0.13;359.0714461930104;0.097;49.0032;52.24;27.804
0.056;0.148;342.71616895154557;0.072;45.6255;52.31;22.189
0.036333333333333336;0.128;250.45344332748962;0.036;35.3502;40.25;13.528
0.012666666666666666;0.062;110.26337851890995;0.014;20.6235;17.69;6.125
0.0006666666666666666;0;0;0;2.2716000000000003;0.07;0.277
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0;0
0.12133333333333333;0.015;70.10392304446418;0.028;1.9260000000000002;9.15;8.682
0.18833333333333332;0.035;151.326438307995;0.057;16.951500000000003;19.92;26.334
0.23366666666666666;0.058;202.2306153395416;0.073;36.2169;25.76;31.005
0.27;0.089;279.33118685501455;0.093;46.2195;37.17;29.566
0.2733333333333333;0.109;301.508028065348;0.092;49.5315;40.31;38.56
0.2363333333333333;0.098;242.01035884203628;0.067;46.2465;33.07;51.467
0.18500000000000003;0.072;160.9806845570719;0.039;35.875800000000005;22.52;36.601
0.11833333333333333;0.035;72.87610861775369;0.016;21.1689;10.35;20.98
0.0006666666666666666;0;0;0;2.3292;0.07;0.604
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0;0
0.135;0.014;85.37456628789033;0.035;1.4651999999999998;11.64;17.426
0.20633333333333334;0.036;154.17687706462948;0.059;6.738300000000001;20.28;55.747
0.21966666666666668;0.065;243.05281691821332;0.087;10.8234;32.42;88.324
0.19133333333333333;0.09;282.7601485473483;0.095;13.4604;37.35;101.956
0.2323333333333333;0.096;266.96522693564447;0.084;14.2182;35.04;103.09
0.228;0.081;207.1119830315016;0.062;10.8198;26.86;92.337
0.224;0.07;158.2688422115822;0.039;6.6447;21.98;61.358
0.17933333333333334;0.039;78.53481020916107;0.016;2.6612999999999998;11.39;27.785
0.0016666666666666668;0;0;0;0.6372;0.07;0.273
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.0006666666666666666;0;0;0;0;0;0
0.06233333333333333;0.014;53.00129050465714;0.021;1.4589;6.42;4.433
0.13;0.035;130.19218384903508;0.049;6.7455;16.2;13.875
0.16633333333333333;0.059;200.48297788688396;0.073;10.8162;25.16;22.472
0.19533333333333333;0.076;232.10902704697145;0.08;13.5036;29.25;24.307
0.18533333333333335;0.076;212.48739314024112;0.071;14.328899999999999;26.37;21.995
