Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
⚖	PE Heizen 4 ist Fernwärme 	bool			heat_th4_is_dh		0	1,00										1,00				1	1	1	1	1
⚖	PE Kühlen 2 ist Fernwärme 	bool			cool_th2_is_dh		0	1,00										1,00				1	1	1	1	1
⚖	PE WWWB 1 ist Fernwärme 	bool			dhw1_is_dh		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 2 ist Fernwärme 	bool			dhw2_is_dh		0	1,00										1,00				1	1	1	1	1
⚖	PE Heizen 2 ist Erdgas 				heat_th2_is_ng		0	0,00										0,00				0	0	0	0	0
⚖	PE Heizen 4 ist Erdgas 				heat_th4_is_ng		0	0,00										0,00				0	0	0	0	0
⚖	PE Kühlen 2 ist Erdgas 				cool_th2_is_ng		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 1 ist Erdgas 				dhw1_is_ng		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 2 ist Erdgas 				dhw2_is_ng		0	0,00										0,00				0	0	0	0	0
⚖	PE Heizen 2 ist Biomasse 				heat_th2_is_bio		0	0,00										0,00				0	0	0	0	0
⚖	PE Heizen 4 ist Biomasse 				heat_th4_is_bio		0	0,00										0,00				0	0	0	0	0
⚖	PE Kühlen 2 ist Biomasse 				cool_th2_is_bio		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 1 ist Biomasse 				dhw1_is_bio		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 2 ist Biomasse 				dhw2_is_bio		0	0,00										0,00				0	0	0	0	0
⚖	PE Heizen 2 ist Sonstige 				heat_th2_is_other		0	0,00										0,00				0	0	0	0	0
⚖	PE Heizen 4 ist Sonstige 				heat_th4_is_other		0	0,00										0,00				0	0	0	0	0
⚖	PE Kühlen 2 ist Sonstige 				cool_th2_is_other		0	0,00										0,00				0	0	0	0	0
⚖	PE WWWB 1 ist Sonstige 				dhw1_is_other		0	1,00										1,00				1	1	1	1	1
⚖	PE WWWB 2 ist Sonstige 				dhw2_is_other		0	0,00										0,00				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖							0	0,0										0,0				0	0	0	0	0
⚖	PE-Konversionsfaktor Heizen 2 Thermisch 	kWhPE/kWhEE				=SVERWEIS(heat_th2_carrier_type;cf_constant;2;FALSCH)	0	0,8500									0,0	0,8500				0,85	0,85	0,85	0,85	0,85
⚖	PE-Konversionsfaktor Heizen 4 Thermisch 	kWhPE/kWhEE				=SVERWEIS(heat_th4_carrier_type;cf_constant;2;FALSCH)	0	0,3300									0,0	0,3300				0,33	0,33	0,33	0,33	0,33
⚖	PE-Konversionsfaktor Kühlen 2 Thermisch 	kWhPE/kWhEE				=SVERWEIS(cool_th2_carrier_type;cf_constant;2;FALSCH)	0	0,3300									0,0	0,3300				0,33	0,33	0,33	0,33	0,33
⚖	PE-Konversionsfaktor WWWB 1 Thermisch	kWhPE/kWhEE				=WENNFEHLER(SVERWEIS(DHW_carriertype_1;cf_constant;2;FALSCH);0)	0	0,0000									0,0	0,0000				0	0	0	0	0
⚖	PE-Konversionsfaktor WWWB 2 Thermisch	kWhPE/kWhEE				=WENNFEHLER(SVERWEIS(DHW_carriertype_2;cf_constant;2;FALSCH);0)	0	0,3300									0,0	0,3300				0,33	0,33	0,33	0,33	0,33
⚖	THG-Konversionsfaktor Heizen 2 Thermisch 	kgCO2eq/kWhEE				=SVERWEIS(heat_th2_carrier_type;cf_constant;5;FALSCH)	0	0,0250									0,0	0,0250				0,025	0,025	0,025	0,025	0,025
⚖	THG-Konversionsfaktor Heizen 4 Thermisch 	kgCO2eq/kWhEE				=SVERWEIS(heat_th4_carrier_type;cf_constant;5;FALSCH)	0	0,0200									0,0	0,0200				0,02	0,02	0,02	0,02	0,02
