Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
🔋				Obsolet			0	0,0		0,0	6,8	0,0			0,00	6,80	0,00	0,0				0	0	0	0	0
🔋	Wirkungsgrad Ladung			Alt		Batterie	0	0,9	1	0,9	1,0	0,9	0,9	1	0,90	1,00	1,00	0,9				0,9	0,9	0,9	0,9	0,9
🔋	Wirkungsgrad Entladung			Alt		Batterie	0	0,9	0,9	0,9	0,9	0,9	0,9	0,9	0,90	0,90	0,90	0,9				0,9	0,9	0,9	0,9	0,9
🚗	Regionstyp			Alt		Mobilität	0	93,0	93 opt Pilz	93,0	93 opt Pilz	11 - Mobilitätstool	93,0	93 opt Pilz	93,00	93 opt Pilz	93 opt Pilz	93,0				93	93	93	93	93
🚗	Zuordnung der Jahres mobilität Wohnen			Alt		Mobilität	0	0,5	0,49	0,5	0,5	0,5	0,5	0,49	0,50	0,49	0,49	0,5				0,5	0,5	0,5	0,5	0,5
🚗	Zuordnung der Jahres mobilität Büro			Alt		Mobilität	0	0,2	0,21	0,2	0,2	0,2	0,2	0,21	0,17	0,21	0,21	0,2				0,17	0,17	0,17	0,17	0,17
🚗	Zuordnung der Jahres mobilität Ausbildung			Alt		Mobilität	0	0,0	0,03	0,0	0,0	0,0	0,0	0,03	0,03	0,03	0,03	0,0				0,03	0,03	0,03	0,03	0,03
🚗	Zuordnung der Jahres mobilität Handel			Alt		Mobilität	0	0,3	0,27	0,3	0,3	0,3	0,3	0,27	0,29	0,27	0,27	0,3				0,29	0,29	0,29	0,29	0,29
🚗	Verkehrsleistung Zu Fuß (pro Person)			Alt		Mobilität	0	235,0	430,3196652	235,0	430,3	203,2	235,0	430,3196652	235,00	430,32	430,32	235,0				235	235	235	235	235
🚗	Verkehrsleistung Fahrrad (pro Person)			Alt		Mobilität	0	116,0	1377,161296	116,0	1377,2	899,1	116,0	1377,161296	116,00	1377,16	1377,16	116,0				116	116	116	116	116
🚗	Verkehrsleistung Moped (pro Person)			Alt		Mobilität	0	146,0	86,27415601	146,0	86,3	101,1	146,0	86,27415601	146,00	86,27	86,27	146,0				146	146	146	146	146
🚗	Verkehrsleistung PKW-LenkerIn (pro Person)			Alt		Mobilität	0	4 291,0	3330,139367	4 291,0	3330,1	4640,3	4291,0	3330,139367	4291,00	3330,14	3330,14	4 291,0				4291	4291	4291	4291	4291
🚗	Verkehrs leistung PKW-MitfahrerIn (pro Person)			Alt		Mobilität	0	2 035,0	1278,560502	2 035,0	1278,6	2703,9	2035,0	1278,560502	2035,00	1278,56	1278,56	2 035,0				2035	2035	2035	2035	2035
🚗	Verkehrs leistung Stadt/ Regionalbus (pro Person)			Alt		Mobilität	0	165,0	135,0552898	165,0	135,1	715,5	165,0	135,0552898	165,00	135,06	135,06	165,0				165	165	165	165	165
🚗	Verkehrs leistung Straßenbahn/U-Bahn (pro Person)			Alt		Mobilität	0	1 978,0	2125,86394	1 978,0	2125,9	0,0	1978,0	2125,86394	1978,00	2125,86	2125,86	1 978,0				1978	1978	1978	1978	1978
🚗	Verkehrs leistung Eisenbahn (pro Person)			Alt		Mobilität	0	1 463,0	1645,175909	1 463,0	1645,2	1806,2	1463,0	1645,175909	1463,00	1645,18	1645,18	1 463,0				1463	1463	1463	1463	1463
🚗	Verkehrs leistung Reisebus (pro Person)			Alt		Mobilität	0	67,0	87,12779509	67,0	87,1	195,1	67,0	87,12779509	67,00	87,13	87,13	67,0				67	67	67	67	67
	spez. Wärme kapazität Luft (Wh/m3K)			Alt		Physik	2	0,34	0,34	0,34	0,3	0,3	0,3	0,34	0,34	0,34	0,34	0,34				0,34	0,34	0,34	0,34	0,34
	spez. Wärme kapazität Wasser (Wh/kgK)			Alt		Physik	2	1,161111111	1,161111111	1,161111111	1,2	1,2	1,2	1,161111111	1,16	1,16	1,16	1,161111111				1,161111111	1,161111111	1,161111111	1,161111111	1,161111111
	spez. Wärme kapazität Wasser (kJ/kgK)			Alt		Physik	2	4,18	4,18	4,18	4,2	4,2	4,2	4,18	4,18	4,18	4,18	4,18				4,18	4,18	4,18	4,18	4,18
				Obsolet			0	0,0		0,0		0,0				0,00	0,00	0,0				0	0	0	0	0
🔛	Gebäudehülle			Obsolet		Switch	0	27,0		27,0	6,0	-	27,0			6,00	0,00	27,0				27	27	27	27	27
🌞	Photovoltaikvarianten			Alt		Switch	0	6,0	4	6,0	13,0	5,0	6,0	4	8,00	4,00	13,00	6,0				6	6	6	6	6
🔛	Netzdienlichkeitsprofil			Alt		Switch	0	10,0	10	10,0	10,0	10,0	10,0	10	1,00	10,00	10,00	10,0				10	10	10	10	10
🔛	Regionstyp Mobilität			Obsolet		Switch	0	10,0		10,0	1,0	-	10,0			1,00	-	10,0				10	10	10	10	10
🔛	Anteil der Fahrzeuge die der Ladekurve (Spitzenladungszeiten) folgen			Obsolet		Switch	0	6,0		6,0	3,0	-	6,0		6,00	3,00	-	6,0				6	6	6	6	6
🔛	Variation km-Leistung Wohnen			Obsolet		Switch	0	6,0		6,0	1,0	-	6,0		6,00	1,00	-	6,0				6	6	6	6	6
🔛	Variation km-Leistung Büro			Obsolet		Switch	0	6,0		6,0	1,0	-	6,0		6,00	1,00	-	6,0				6	6	6	6	6
🔛	Variation km-Leistung Ausbildung			Obsolet		Switch	0	6,0		6,0	1,0	-	6,0		6,00	1,00	-	6,0				6	6	6	6	6
🔛	Variation km-Leistung Handel			Obsolet		Switch	0	6,0		6,0	1,0	-	6,0		6,00	1,00	-	6,0				6	6	6	6	6
🔛	DirektInput &Dashboard			Obsolet		Switch	0	1,0		1,0	1,0	1,0	1,0		0,00	1,00	2,00	1,0				1	1	1	1	1
🔛	Freigabe/Verwendung Abwärme			Alt		Switch	0	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	0,00	FALSCH	FALSCH	FALSCH				FALSCH	FALSCH	FALSCH	FALSCH	FALSCH
🔛	Lüftungsanlage			Alt		Switch	0	FALSCH	WAHR	FALSCH	WAHR	WAHR	FALSCH	WAHR	1,00	WAHR	WAHR	FALSCH				FALSCH	FALSCH	FALSCH	FALSCH	FALSCH
🔛	Netzdienlichkeit (DSM) aktiv			Alt		Switch	0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	0,00	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🌞	PV			Alt		Switch	0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	0,00	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🔛	Kühlung			Alt		Switch	0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	0,00	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🔛	Elektropatrone			Alt		Switch	0	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	FALSCH	0,00	FALSCH	FALSCH	FALSCH				FALSCH	FALSCH	FALSCH	FALSCH	FALSCH
🔛	EBatterie			Alt		Switch	0	FALSCH	FALSCH	FALSCH	FALSCH	WAHR	FALSCH	FALSCH	0,00	FALSCH	FALSCH	FALSCH				FALSCH	FALSCH	FALSCH	FALSCH	FALSCH
🔛	ECars			Alt		Switch	0	FALSCH	WAHR	FALSCH	WAHR	FALSCH	FALSCH	WAHR	0,00	WAHR	WAHR	FALSCH				FALSCH	FALSCH	FALSCH	FALSCH	FALSCH
🏠	Fensterfläche Nord (m² brutto)			Abgelöst in Klimaaktiv		Fenster	0	550,4	1459,27	550,4	1459,3	113,9	550,4	1459,27	9106,51	1459,27	1459,27	550,4				550,37	550,37	550,37	550,37	550,37
🏠	Fensterfläche Ost (m² brutto)			Abgelöst in Klimaaktiv		Fenster	0	129,2	690,72	129,2	690,7	136,1	129,2	690,72	6912,55	690,72	690,72	129,2				129,15	129,15	129,15	129,15	129,15
🏠	Fensterfläche Süd (m² brutto)			Abgelöst in Klimaaktiv		Fenster	0	605,5	1335,13	605,5	1335,1	180,2	605,5	1335,13	8829,11	1335,13	1335,13	605,5				605,5	605,5	605,5	605,5	605,5
🏠	Fensterfläche West (m² brutto)			Abgelöst in Klimaaktiv		Fenster	0	107,4	678,49	107,4	678,5	313,2	107,4	678,49	5917,20	678,49	678,49	107,4				107,42	107,42	107,42	107,42	107,42
🏠	Fensterfläche Horizontal (m² brutto)			Abgelöst in Klimaaktiv		Fenster	0	0,0	0	0,0	0,0	0,0	0,0	0	0,00	0,00	0,00	0,0				0	0	0	0	0
🏠	g-Wert Nord			Abgelöst in Klimaaktiv		Fenster	0	0,5	0,394893265	0,5	0,4	0,4	0,5	0,394893265	0,72	0,39	0,39	0,5				0,5	0,5	0,5	0,5	0,5
🏠	g-Wert Ost			Abgelöst in Klimaaktiv		Fenster	0	0,5	0,394893265	0,5	0,4	0,5	0,5	0,394893265	0,72	0,39	0,39	0,5				0,5	0,5	0,5	0,5	0,5
🏠	g-Wert Süd			Abgelöst in Klimaaktiv		Fenster	0	0,5	0,394893265	0,5	0,4	0,5	0,5	0,394893265	0,72	0,39	0,39	0,5				0,5	0,5	0,5	0,5	0,5
🏠	g-Wert West			Abgelöst in Klimaaktiv		Fenster	0	0,5	0,394893265	0,5	0,4	0,5	0,5	0,394893265	0,72	0,39	0,39	0,5				0,5	0,5	0,5	0,5	0,5
🏠	g-Wert Horizontal			Abgelöst in Klimaaktiv		Fenster	0	0,5	0,394893265	0,5	0,4	0,0	0,5	0,394893265	0,72	0,39	0,39	0,5				0,5	0,5	0,5	0,5	0,5
🏠	Abminderungsfaktor solare Einstrahlung Heizen Nord			Abgelöst in Klimaaktiv		Fenster	0	0,4	0,647957706	0,4	0,65	0,37	0,40	0,647957706	0,40	0,65	0,65	0,4				0,4	0,4	0,4	0,4	0,4
🏠	Abminderungsfaktor solare Einstrahlung Heizen Ost			Abgelöst in Klimaaktiv		Fenster	0	0,4	0,607798252	0,4	0,61	0,45	0,40	0,607798252	0,40	0,61	0,61	0,4				0,4	0,4	0,4	0,4	0,4
🏠	Abminderungsfaktor solare Einstrahlung Heizen Süd			Abgelöst in Klimaaktiv		Fenster	0	0,4	0,685302245	0,4	0,69	0,44	0,40	0,685302245	0,40	0,69	0,69	0,4				0,4	0,4	0,4	0,4	0,4
🏠	Abminderungsfaktor solare Einstrahlung Heizen West			Abgelöst in Klimaaktiv		Fenster	0	0,4	0,607798252	0,4	0,61	0,39	0,40	0,607798252	0,40	0,61	0,61	0,4				0,4	0,4	0,4	0,4	0,4
🏠	Abminderungsfaktor solare Einstrahlung Heizen Horizontal			Abgelöst in Klimaaktiv		Fenster	0	0,0	0	0,0	0,00	0,00	0,00	0	0,00	0,00	0,00	0,0				0	0	0	0	0
🏠	Verhältnis Abminderung Kühlung/Heizung Nord			Abgelöst in Klimaaktiv		Fenster	0	1,0	0,267873961	1,0	0,27	1,04	1,00	0,267873961	0,81	0,27	0,27	1,0				1	1	1	1	1
🏠	Verhältnis Abminderung Kühlung/Heizung Ost			Abgelöst in Klimaaktiv		Fenster	0	1,0	0,285553389	1,0	0,29	1,19	1,00	0,285553389	0,81	0,29	0,29	1,0				1	1	1	1	1
🏠	Verhältnis Abminderung Kühlung/Heizung Süd			Abgelöst in Klimaaktiv		Fenster	0	1,0	0,230398206	1,0	0,23	0,73	1,00	0,230398206	0,81	0,23	0,23	1,0				1	1	1	1	1
🏠	Verhältnis Abminderung Kühlung/Heizung West			Abgelöst in Klimaaktiv		Fenster	0	1,0	0,285553389	1,0	0,29	0,96	1,00	0,285553389	0,81	0,29	0,29	1,0				1	1	1	1	1
🏠	Verhältnis Abminderung Kühlung/Heizung Horizontal			Abgelöst in Klimaaktiv		Fenster	0	1,0	1	1,0	1,00	1,00	1,00	1	0,00	1,00	1,00	1,0				1	1	1	1	1
👤	Betriebszeit_-			Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Personen_Pers_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Innere Wärmen Sommer gesamt inkl. Verdungskälte	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Innere Wärmen Winter gesamt inkl. Verdungskälte	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Luftwechsel_Anlage_1_h	-		Abgelöst in Klimaaktiv		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Luftwechsel_Infiltration_1_h	-		Abgelöst in Klimaaktiv		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	2,37	1,00	1,00	1,0				1	1	1	1	1
👤	Warmwasserbedarf_W_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Lüfterstrom_W_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Aufzug, Regelung etc._W_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	0,9	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Beleuchtung_W_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Nutzerstrom_W_m2	-		Alt		Skalierungsfaktoren	0	1,0	1	1,0	1,0	0,9	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
🌞	PV Skalierung	-		Alt		Skalierungsfaktoren	0	0,9	0,9	0,9	0,9	0,9	0,9	0,9	1,00	0,90	0,90	0,9				0,9	0,9	0,9	0,9	0,9
⚖️	JAZ Kühlen Erdgas und FW Variante			Alt			0	2,5	2,5	2,5	2,5	2,5	2,5	2,5	2,50	2,50	2,50	2,5				2,5	2,5	2,5	2,5	2,5
⚖️	CO2,PE Profil			Alt			0	3,0	3	3,0	3,0	3,0	3,0	3	3,00	3,00	3,00	3,0				3	3	3	3	3
	Wetterdaten			Abgelöst in Klimaaktiv			0	6,0	1	6,0	1,0	5,0	6,0	1	6,00	1,00	1,00	6,0				6	6	6	6	6
🔀	Wohnen aktiv Kühlen?			Alt			0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🔀	Büro aktiv Kühlen?			Alt			0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🔀	Handel aktiv Kühlen?			Alt			0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
🔀	Bildung aktiv Kühlen?			Alt			0	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR	WAHR				WAHR	WAHR	WAHR	WAHR	WAHR
	Grundstücksfläche			Alt			2	4662,0	7323,4	0,0	7323,4	7000,0	4662,0	7323,4	48131,20	7323,40	7323,40	4662,0				4662	4662	4662	4662	4662
	Fernwärme PE-Faktor			Alt			0	7,0	7	7,0	7	1	7	7	7,00	7,00	7,00	7,0				7	7	7	7	7
	Netzdienlichkeitsstrategie			Alt			0	2,0	2	2,0	2	2	2	2	2,00	2,00	2,00	2,0				2	2	2	2	2
	Verhältnis NGF/BGF			Alt		Gebäude	0	0,8	0,8	0,8	80%	80%	80%	0,8	0,80	0,80	0,80	0,8				0,8	0,8	0,8	0,8	0,8
👤	Profil HEIZEN			Abgelöst in Klimaaktiv		Switch	0	1,0	1	1,0	1	1	1	1	1,00	1,00	1,00	1,0				1	1	1	1	1
👤	Profil KÜHLEN			Abgelöst in Klimaaktiv		Switch	0	1,0	4	1,0	4	2	1	4	1,00	4,00	4,00	1,0				1	1	1	1	1
👤	ÖNORM/OIB-Energiesummen			Alt		Nutzungsspezfische Skalierungsfaktoren	0	1,0	3	1,0	3	3	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Lüfterstrom			Alt			0	1,0	1	1,0	1	5	1	1	2,00	1,00	1,00	1,0				1	1	1	1	1
👤	Luftwechsel Anlage			Alt			0	2,0	1	2,0	1	5	2	1	2,00	1,00	1,00	2,0				2	2	2	2	2
👤	Innere Wärmen Sommer			Abgelöst in Klimaaktiv			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Innere Wärmen Winter			Abgelöst in Klimaaktiv			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Warmwasser Wärmebedarf			Alt			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Strombedarf Aufzug, Regelung, Etc			Alt			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Beleuchtung			Alt			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
👤	Nutzerstrom			Alt			0	1,0	3	1,0	3	1	1	3	1,00	3,00	3,00	1,0				1	1	1	1	1
⚖️	"Erdgas" PE-Faktor			Alt			0	3,0	3	3,0	3	3	3	3	3,00	3,00	3,00	3,0				3	3	3	3	3
Alt	Alt	Alt	Alt	Alt		Alt	1	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt	Alt				Alt	Alt	Alt	Alt	Alt
							0																			
📝	Projektname			Neu (default, nicht berechenbar)	project_name	='🏙️'!$D$5	2	Rugierstraße		Rugierstraße	Test_PG2	Test_AB	Rugierstraße	Test_AB	WieNeu+ Alliiertenviertel	Test_AB	Beispiel PG	Rugierstraße				Rugierstraße	Rugierstraße	Rugierstraße	Rugierstraße	Rugierstraße
📝	ProjektURL			Neu (default, nicht berechenbar)	project_url	='🏙️'!D6	2	0,0		0,0							0,00	0,0				0	0	0	0	0
🧭	Adresse			Neu (default, nicht berechenbar)	location_address	='🏙️'!$D$12	2	Rugierstraße 28		Rugierstraße 28			Rugierstraße 28			0,00	Pilzgasse 22	Rugierstraße 28				Rugierstraße 28	Rugierstraße 28	Rugierstraße 28	Rugierstraße 28	Rugierstraße 28
🧭	Gemeinde			Neu (default, nicht berechenbar)	municipality_name	='🏙️'!D14	2	Wien-Donaustadt		0,0							Wien-Floridsdorf	Wien-Donaustadt				Wien-Donaustadt	Wien-Donaustadt	Wien-Donaustadt	Wien-Donaustadt	Wien-Donaustadt
📝	Erstellungsdatum			Neu (default, nicht berechenbar)		='🏙️'!$D$7	2	28.02.2024		28.02.2024			28.02.2024			0,00	45682,00	28.02.2024				28.02.2024	28.02.2024	28.02.2024	28.02.2024	28.02.2024
📝	Projektbeschreibung			Neu (default, nicht berechenbar)		='🏙️'!$D$8	2	0,0		0,0						0,00	Dieses Projekt stellt ein Beispielquartier mit 2 Wohngebäuden und einem Bürogebäude dar. Es entspricht geometrisch dem Deklarationsbeispiel Pilzgasse	0,0				0	0	0	0	0
📝	Variante / Scenario			Neu (aus alt Berechenbar)	project_scenario_name	='🏙️'!D9	2	0,0									Basis	0,0				0	0	0	0	0
🧭	Postleitzahl			Neu (default, nicht berechenbar)	location_postcode	='🏙️'!$D$15	2	0,0		0,0						0,00	Keine Daten	0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
		16	Parameter				0																			
🌦️	Wetterdatensatz Name			Neu (aus alt Berechenbar)	weather_name	='🏙️'!$D$19	2	Wien 2020		Wien 2020	Hohe Warte 2010	Innsbruck 2020	Wien 2020		Wien 2020	Hohe Warte 2010	Hohe Warte 2010	Wien 2020				Wien 2020	Wien 2020	Wien 2020	Wien 2020	Wien 2020
🌦️	Wetterdatensatz Nummer			Zwischenrechnung	weather_index	=VERGLEICH(K219;list_weathers;0)	0	6,0		6,0						1,00	1,00	6,0				6	6	6	6	6
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
		8	Parameter				0																			
🏙️	BGF Wohnen	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D28	2	4 800,0		0,0	17 536,2	5 350,6	9 761,3		163480	17536,2	17536,2	4 800,0				4800	4800	4800	4800	4800
🏙️	BGF Büro	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D29	2	4 800,0		0,0	12603,3	0	0		17012	12603,3	12603,3	4 800,0				4800	4800	4800	4800	4800
🏙️	BGF Bildung sekundär	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D31	2	0,0		0,0	0	0	0		0	0	0	0,0				0	0	0	0	0
🏙️	BGF Bildung primär	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D30	2	0,0		0,0	772,9	0	0		0	772,9	772,9	0,0				0	0	0	0	0
🏙️	BGF Lebensmittelhandel	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D32	2	0,0		0,0	0	0	0		0	0	0	0,0				0	0	0	0	0
🏙️	BGF Handel sonstiger	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D33	2	0,0		0,0	2593,6	0	0		0	2593,6	2593,6	0,0				0	0	0	0	0
🏙️	BGF Sonstige	m²BGF		Neu (aus alt Berechenbar)		='🏙️'!D34	2	0,0		0,0	0	0	0		0	0	0	0,0				0	0	0	0	0
🏙️	BGF Quartier	m²BGF		Zwischenrechnung	GFA_total	=SUMME(K227:K233)	0	9600,0		0,0						33506,00	33506,00	9600,0				9600	9600	9600	9600	9600
🏙️	NGF/BGF Wohnen	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F42	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF  Büro	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F43	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Bildung sekundär	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F45	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Bildung primär	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F44	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Lebensmittelhandel	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F46	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Handel sonstiger	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F47	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Sonstige	Faktor		Neu (aus alt Berechenbar)		='🏙️'!F48	2	80,0%		0,0%	0,8	0,8	0,8		0,80	0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF/BGF Quartier	Faktor		Zwischenrechnung	NFA_to_GFA_ratio	=NFA_total/GFA_total	0	80,0%		80,0%						0,80	0,80	80,0%				0,8	0,8	0,8	0,8	0,8
🏙️	NGF Wohnen	m²NGF		Zwischenrechnung	NFA_residential	=K227*K235	0	3840,0		0,0						14028,96	14028,96	3840,0				3840	3840	3840	3840	3840
🏙️	NGF Büro	m²NGF		Zwischenrechnung	NFA_office	=K228*K236	0	3840,0		0,0						10082,64	10082,64	3840,0				3840	3840	3840	3840	3840
🏙️	NGF Bildung sekundär	m²NGF		Zwischenrechnung	NFA_schoolsec	=K229*K237	0	0,0		0,0						0,00	0,00	0,0				0	0	0	0	0
🏙️	NGF Bildung primär	m²NGF		Zwischenrechnung	NFA_schoolprim	=K230*K238	0	0,0		0,0						618,32	618,32	0,0				0	0	0	0	0
🏙️	NGF Handel Lebensmittel	m²NGF		Zwischenrechnung	NFA_retailfood	=K231*K239	0	0,0		0,0						0,00	0,00	0,0				0	0	0	0	0
🏙️	NGF Handel sonstiger	m²NGF		Zwischenrechnung	NFA_retailother	=K232*K240	0	0,0		0,0						2074,88	2074,88	0,0				0	0	0	0	0
🏙️	NGF Sonstige	m²NGF		Zwischenrechnung	NFA_other	=K233*K241	0	0,0		0,0						0,00	0,00	0,0				0	0	0	0	0
🏙️	NGF Quartier	m²NGF		Zwischenrechnung	NFA_total	=SUMME(K243:K249)	0	7680,0		0,0						26804,80	26804,80	7680,0				7680	7680	7680	7680	7680
🏙️	Pro NGF ( Kehrwert NGF)	1/m²NGF		Zwischenrechnung	per_NFA	=1/NFA_total	0	0,000130208		0,000130208							0,00	0,000130208				0,000130208	0,000130208	0,000130208	0,000130208	0,000130208
🏙️	Bebaubare Grundstücksfläche	m²GF		Neu (aus alt Berechenbar)		='🏙️'!D55	2	4662,0		0,0	7 323,4	7 000,0	4 662,0		48 131,2	7 323,4	7 323,4	4662,0				4662	4662	4662	4662	4662
🏙️	Geschoßflächenzahl	GFZ			FSI	=GFA_total/K252	0	2,1	0		0,0	0,0	1,0					2,1				2,059202059	2,059202059	2,059202059	2,059202059	2,059202059
🏙️	Sanierung Anteil Wohnen					='🏙️'!D61	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Büro					='🏙️'!D62	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Bildung sekundär					='🏙️'!D63	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Bildung primär					='🏙️'!D64	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Lebensmittelhandel					='🏙️'!D65	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Handel Sonstiger					='🏙️'!D66	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierung Anteil Sonstige					='🏙️'!D67	2	1,0	0		0,0	0,0	1,0					1,0				1	1	1	1	1
🏙️	Sanierungsanteil im Quartier				renovation_share		0	100%										100%				1	1	1	1	1
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
							0	0,0										0,0				0	0	0	0	0
		42	Parameter				0																			
↕️	Raumhöhe Wohnen	m Netto		Neu (aus alt Berechenbar)	rh_residential	='🏙️'!D42	2	2,500		0,000	2,6	2,5	2,5		2,50	2,60	2,60	2,500				2,5	2,5	2,5	2,5	2,5
